Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(SI),expr(LI),log(exprSI),log(exprLI)
NCAPG2,6.23E-21,-0.985357256,0.037,0.048,2.28E-16,0.059318468,0.117463164,-1.226810074,-0.930098305
RIPK2,1.12E-06,-0.985357864,0.049,0.055,0.041130703,0.071785561,0.142145618,-1.143962903,-0.847266524
SLC39A6,1.74E-14,-0.985441419,0.034,0.042,6.37E-10,0.049292263,0.097618944,-1.307221239,-1.010465893
KIF22,3.99E-95,-0.987459694,0.08,0.116,1.46E-90,0.121394224,0.240711518,-0.915801978,-0.618503128
SIRT6,7.18E-60,-0.988460544,0.109,0.139,2.63E-55,0.16672325,0.33081439,-0.778003832,-0.480415607
GPR137C,1.29E-09,-0.990007331,0.01,0.014,4.74E-05,0.016155072,0.032111504,-1.791691106,-1.493339359
FDFT1,1.49E-139,-0.990083931,0.276,0.323,5.45E-135,0.55944783,1.111255909,-0.252240407,0.045814083
CENPK,1.40E-28,-0.990644729,0.052,0.067,5.12E-24,0.085290294,0.169502419,-1.06910039,-0.770824099
USP11,4.27E-09,-0.991033994,0.048,0.056,0.000156187,0.070049866,0.139256152,-1.154592694,-0.85618561
DCAF4,7.46E-13,-0.99265969,0.037,0.046,2.73E-08,0.047693637,0.094927637,-1.321539554,-1.02260733
EML2,1.23E-79,-0.994073527,0.096,0.13,4.51E-75,0.151136544,0.301058413,-0.820630512,-0.521349232
TCEAL9,6.49E-162,-0.994343821,0.126,0.181,2.38E-157,0.199327792,0.397120187,-0.700432144,-0.401078036
FXN,3.93E-39,-0.994624203,0.075,0.096,1.44E-34,0.101915263,0.203096927,-0.991760771,-0.692296647
KHDC1,1.56E-08,-0.995356618,0.01,0.013,0.000572188,0.014141757,0.028217153,-1.849496643,-1.549486804
ZNF273,2.02E-13,-0.996354371,0.024,0.031,7.41E-09,0.029458323,0.058792507,-1.530791981,-1.230678022
REXO2,2.56E-102,-0.996505262,0.128,0.171,9.39E-98,0.197649899,0.394367953,-0.704103403,-0.404098384
METRN,1.20E-80,-0.996657819,0.033,0.057,4.38E-76,0.047567067,0.094938561,-1.322693625,-1.022557357
DRAIC,4.59E-45,-0.99758994,0.031,0.047,1.68E-40,0.054882715,0.109606803,-1.260564416,-0.96016249
SH3BGRL3,0,-0.997831693,0.53,0.563,0,2.033209565,4.060336666,0.308182144,0.608562045
ISYNA1,1.01E-09,-0.997885241,0.013,0.018,3.68E-05,0.020657423,0.041278923,-1.684923866,-1.384271638
NGLY1,7.27E-12,-0.998157385,0.218,0.225,2.66E-07,0.366170464,0.731430779,-0.436316689,-0.135826768
TLE2,2.01E-78,-0.999522206,0.052,0.08,7.37E-74,0.074009154,0.147993934,-1.130714563,-0.829756085
CHD6,2.91E-96,-0.999665232,0.195,0.236,1.07E-91,0.385381079,0.770607971,-0.414109612,-0.113166503
MT-ND4L,0,-0.999715549,0.941,0.952,0,45.30637964,90.59491988,1.65615936,1.957103845
NINJ2,1.52E-19,-0.99998054,0.021,0.029,5.55E-15,0.030039803,0.060103448,-1.52230292,-1.221100613
PHKA1,1.23E-32,-1.000289265,0.013,0.023,4.51E-28,0.023133619,0.046301176,-1.635756423,-1.334407976
AP3M2,1.24E-08,-1.001384346,0.035,0.041,0.000455046,0.046625989,0.093366192,-1.331371946,-1.029810356
FAM162A,2.13E-277,-1.00154478,0.424,0.45,7.79E-273,0.96831793,1.938735337,-0.013982026,0.287518526
SLC29A3,2.00E-25,-1.001559968,0.016,0.024,7.31E-21,0.024083361,0.048243529,-1.618282898,-1.316560934
NT5C2,1.14E-90,-1.001671471,0.296,0.327,4.17E-86,0.578420979,1.158207723,-0.237755964,0.063786456
AKAP11,6.46E-15,-1.002264815,0.14,0.152,2.36E-10,0.231032477,0.462815611,-0.636326966,-0.334592
SERGEF,2.10E-35,-1.002425006,0.116,0.138,7.67E-31,0.183761435,0.368165872,-0.735745627,-0.433956471
