Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(small.intestine),expr(large.intestine),logexprSI,logexprLI
STUB1,6.94E-59,-0.1061641,0.302,0.224,2.54E-54,0.482048179,0.518820409,-0.316909553,-0.284982948
STX10,9.78E-110,0.139353888,0.203,0.122,3.58E-105,0.275122283,0.249749294,-0.560474233,-0.602495732
STX16,8.93E-32,-0.219877421,0.179,0.134,3.27E-27,0.257878919,0.300298143,-0.588584159,-0.522447353
STX17,9.35E-56,-0.138514546,0.249,0.18,3.42E-51,0.35873616,0.394848662,-0.445224845,-0.40356933
STX18-AS1,5.59E-135,0.414365019,0.188,0.104,2.04E-130,0.283083525,0.212367444,-0.548085406,-0.672912061
STX1A,4.58E-08,-0.236728732,0.051,0.041,0.001675198,0.067419563,0.079405349,-1.171214068,-1.100150242
STX3,2.91E-09,-0.338747276,0.313,0.267,0.000106419,0.630327357,0.797113789,-0.200433843,-0.098479678
STX4,5.61E-99,0.24189484,0.189,0.114,2.05E-94,0.242766177,0.205248879,-0.61481182,-0.687719207
STX5,1.00E-23,-0.776627584,0.252,0.267,3.67E-19,0.414469824,0.710010723,-0.382507083,-0.148735092
STX6,3.23E-44,-0.114864381,0.143,0.098,1.18E-39,0.179849898,0.194716566,-0.745089803,-0.710597099
STX7,1.31E-116,0.115718411,0.328,0.227,4.78E-112,0.652181783,0.601872299,-0.185631336,-0.220495645
STXBP1,4.61E-12,0.147954167,0.05,0.037,1.69E-07,0.113006351,0.101950163,-0.946897149,-0.991612077
STXBP2,6.97E-131,0.198517338,0.311,0.204,2.55E-126,0.510037731,0.44442822,-0.292397695,-0.352198372
STXBP5,1.62E-18,-0.546971037,0.3,0.308,5.95E-14,0.645864021,0.943585923,-0.189858908,-0.025218547
STXBP6,0,1.023987581,0.359,0.148,0,0.786145481,0.386542244,-0.104497078,-0.412803036
STYK1,1.33E-122,-1.805014633,0.008,0.032,4.87E-118,0.014362147,0.050192269,-1.842780629,-1.299363172
STYX,1.58E-27,-0.101708758,0.087,0.06,5.80E-23,0.099193337,0.106400521,-1.003517501,-0.973056245
SUB1,6.12E-33,-0.110660361,0.581,0.498,2.24E-28,2.533502759,2.735441396,0.403721382,0.437027415
SUCLA2,7.28E-79,-0.135314259,0.311,0.221,2.66E-74,0.507599314,0.557474793,-0.294478974,-0.253774765
SUCLG1,0,0.585681781,0.57,0.424,0,2.757886247,1.837628668,0.440576349,0.264257758
SUCLG2,2.69E-126,0.19746779,0.484,0.369,9.84E-122,1.393354735,1.215074694,0.144061698,0.084602976
SUCLG2-AS1,1.42E-73,0.20819768,0.172,0.11,5.20E-69,0.247598524,0.214283657,-0.606251949,-0.669010951
SUDS3,7.12E-50,-0.137607262,0.225,0.163,2.60E-45,0.30340047,0.333726754,-0.517983751,-0.476608975
SUFU,7.75E-30,-0.109316785,0.119,0.085,2.84E-25,0.169448978,0.182749385,-0.770961046,-0.738144076
SUGP1,4.41E-24,-0.180268759,0.102,0.074,1.61E-19,0.11771375,0.1333437,-0.929172807,-0.875027498
SUGP2,1.25E-117,0.268655844,0.207,0.123,4.59E-113,0.305639735,0.253666554,-0.514790186,-0.595736791
SULF2,8.85E-76,-1.015467944,0.132,0.181,3.24E-71,0.209750716,0.42400251,-0.678296548,-0.372631573
SULT1A1,9.57E-94,0.106020314,0.251,0.166,3.50E-89,0.406574198,0.377726535,-0.390860185,-0.422822505
SULT1A2,6.98E-07,-0.589937758,0.025,0.019,0.025549827,0.024560485,0.036937676,-1.609763069,-1.432530429
SULT1A3,4.73E-66,0.240508601,0.074,0.036,1.73E-61,0.062599782,0.052944967,-1.203427182,-1.276175321
SULT1A4,5.08E-19,0.697500222,0.01,0.003,1.86E-14,0.006266648,0.00381762,-2.202964705,-2.418207319
