Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,logEpithelialcells,logGobletcells
ATG16L2,1.79E-50,-0.992109796,0.059,0.091,6.54E-46,0.210628982,0.105842666,-0.676481872,-0.97533923
ZFAT,5.26E-09,-0.992155521,0.039,0.048,0.000192402,0.126504397,0.063547686,-0.897894381,-1.196900262
ACAA2,3.91E-215,-0.993032647,0.335,0.427,1.43E-210,1.445974138,0.726437731,0.160160526,-0.138801607
DNAJB7,3.59E-10,-0.993321128,0.008,0.014,1.31E-05,0.019750257,0.009871572,-1.704427253,-2.005613681
FRMD5,1.24E-52,-0.993708335,0.049,0.08,4.55E-48,0.214534394,0.107686636,-0.668503072,-0.967838188
ANKLE2,3.78E-51,-0.993742158,0.129,0.17,1.38E-46,0.407020928,0.20434575,-0.39038326,-0.689634391
MATR3.1,3.56E-11,-0.99427402,0.03,0.04,1.30E-06,0.095074589,0.047676961,-1.021935543,-1.321691433
CHORDC1,9.93E-25,-0.994739733,0.087,0.112,3.64E-20,0.278228044,0.139572794,-0.555599098,-0.855199227
YBX2,5.84E-23,-0.995563407,0.024,0.039,2.14E-18,0.069846242,0.034981298,-1.155856957,-1.456164085
ENDOD1,1.02E-60,-0.99556989,0.094,0.136,3.73E-56,0.286021551,0.143401212,-0.543601242,-0.843447179
ACAD11,2.47E-33,-0.996072063,0.128,0.156,9.02E-29,0.426076435,0.213569648,-0.370512485,-0.670460469
ACKR4,7.31E-18,-0.997317031,0.03,0.043,2.68E-13,0.070450096,0.035241228,-1.152118408,-1.452948972
AL356124.1,1.39E-20,-1.000396112,0.058,0.077,5.10E-16,0.181137037,0.090494258,-0.74199274,-1.043378978
AC005753.2,2.65E-15,-1.000915197,0.01,0.018,9.71E-11,0.032644033,0.016262267,-1.486196197,-1.788818923
RAD54B,1.76E-15,-1.001766242,0.011,0.019,6.46E-11,0.03311228,0.016486482,-1.480010914,-1.782872002
AC111000.4,9.33E-15,-1.002075634,0.004,0.01,3.42E-10,0.019477422,0.009675308,-1.710468516,-2.014335197
MAP3K10,2.13E-07,-1.002900183,0.017,0.022,0.007781373,0.047602014,0.023703805,-1.322374668,-1.625181932
ELL2,1.76E-23,-1.004345834,0.295,0.315,6.44E-19,1.341881036,0.668873075,0.127714015,-0.174656286
FAM102B,8.39E-118,-1.005155821,0.097,0.162,3.07E-113,0.374508988,0.186537079,-0.426537755,-0.729234829
PAQR7,1.11E-25,-1.007517673,0.048,0.067,4.07E-21,0.159762496,0.079416665,-0.796525164,-1.100088356
ABCB9,9.64E-10,-1.007611185,0.029,0.038,3.53E-05,0.088632806,0.044033803,-1.052405501,-1.356213802
ADAM22,5.30E-36,-1.00809699,0.032,0.053,1.94E-31,0.114600318,0.05693005,-0.940814178,-1.244658434
AC104365.1,2.77E-10,-1.00843717,0.009,0.015,1.01E-05,0.030943982,0.015332353,-1.509423794,-1.814391183
BMP8B,2.52E-12,-1.00852751,0.015,0.023,9.21E-08,0.045806872,0.022719038,-1.339069367,-1.643610061
NCOA7,1.87E-125,-1.009105535,0.17,0.243,6.85E-121,0.615804841,0.305915801,-0.210556901,-0.51439809
AC120193.1,2.05E-10,-1.00956998,0.024,0.033,7.52E-06,0.106039802,0.052619941,-0.974531091,-1.278849645
DENND5B,4.49E-173,-1.009713189,0.259,0.347,1.64E-168,1.296382373,0.643792365,0.112733117,-0.191254178
HSD17B13,2.57E-14,-1.010425848,0.009,0.016,9.40E-10,0.027809105,0.013755008,-1.555812982,-1.861539165
DNM3,6.44E-19,-1.010571798,0.024,0.037,2.36E-14,0.085806168,0.042540423,-1.066481492,-1.371198196
ARHGAP10,1.50E-23,-1.012388669,0.026,0.041,5.50E-19,0.099789473,0.049418687,-1.000915271,-1.306108797
KCNIP3,1.98E-11,-1.012547038,0.007,0.013,7.26E-07,0.019780453,0.009755155,-1.703763764,-2.010765817
C2orf72,1.12E-71,-1.013195489,0.046,0.084,4.11E-67,0.13181253,0.065256776,-0.880043303,-1.185374385
HACD1,8.48E-26,-1.01413441,0.015,0.028,3.10E-21,0.040619459,0.020062288,-1.391265865,-1.697619532
HILPDA,4.03E-24,-1.014310288,0.029,0.045,1.48E-19,0.069974045,0.034592263,-1.155063022,-1.46102103
CDKN1C,1.07E-10,-1.015796424,0.021,0.03,3.92E-06,0.069728901,0.034435355,-1.156587181,-1.462995434
DHRS9,4.76E-14,-1.015811278,0.062,0.077,1.74E-09,0.458127407,0.226517538,-0.339013726,-0.644898166
TGFBR3,1.67E-24,-1.016243657,0.04,0.058,6.10E-20,0.138943048,0.068644275,-0.857163178,-1.163395679
PDE3A,0,-1.0165455,0.558,0.631,0,4.85203505,2.398304317,0.685923929,0.379904289
PHLDA3,1.23E-14,-1.01762986,0.006,0.013,4.50E-10,0.023898336,0.011754594,-1.621632335,-1.929792372
MYCBP2,6.42E-116,-1.019032483,0.23,0.303,2.35E-111,0.994835157,0.490849139,-0.002248875,-0.309051966
PDCD2L,1.43E-20,-1.019992513,0.015,0.027,5.22E-16,0.042033481,0.020678055,-1.376404647,-1.684490312
MAML2,3.37E-151,-1.020014475,0.34,0.407,1.23E-146,1.98102242,0.976815299,0.296889391,-0.010187547
EDN3,1.32E-93,-1.020552219,0.115,0.172,4.83E-89,0.3757651,0.185175553,-0.425083558,-0.73241635
LEXM,3.99E-23,-1.02077231,0.015,0.027,1.46E-18,0.042863893,0.021076123,-1.367908389,-1.676209269
CKMT2,5.62E-14,-1.022167518,0.005,0.011,2.06E-09,0.014566277,0.007122631,-1.83665143,-2.147359543
CEBPD,5.41E-193,-1.022808597,0.208,0.303,1.98E-188,0.744056996,0.366143627,-0.128393795,-0.436348521
CPEB4,1.02E-75,-1.025563441,0.193,0.246,3.72E-71,0.746657325,0.366722366,-0.12687867,-0.435662602
LTC4S,3.71E-10,-1.028776365,0.009,0.015,1.36E-05,0.02795925,0.013654074,-1.553474484,-1.864737738
ITGA1,8.48E-43,-1.029073946,0.103,0.139,3.10E-38,0.459597994,0.225164846,-0.337621875,-0.647499413
PKDCC,2.20E-111,-1.029244711,0.075,0.132,8.05E-107,0.265166819,0.129873409,-0.576480821,-0.886479758
RPS10-NUDT3,4.96E-15,-1.031018415,0.013,0.022,1.82E-10,0.032874213,0.016037998,-1.483144631,-1.794849852
TLE1,2.51E-122,-1.031564065,0.143,0.214,9.19E-118,0.555412249,0.271646823,-0.255384547,-0.56599537
AC116362.1,4.39E-30,-1.033015535,0.054,0.077,1.61E-25,0.167621256,0.08186495,-0.77567091,-1.086902
PLUT,9.27E-16,-1.033212327,0.012,0.02,3.39E-11,0.038905398,0.018960509,-1.409990142,-1.722149998
GABRE,5.26E-49,-1.034197261,0.051,0.082,1.92E-44,0.180293732,0.087985689,-0.744019371,-1.055587961
SLC41A2,5.14E-173,-1.034211096,0.332,0.406,1.88E-168,1.572344249,0.767699188,0.196547637,-0.114808919
GNA13,3.38E-58,-1.035624983,0.142,0.186,1.24E-53,0.479239784,0.233725841,-0.319447136,-0.631293269
PTK2B,2.04E-11,-1.037311494,0.22,0.233,7.46E-07,0.887724185,0.432480448,-0.051721948,-0.364033522
LY75,6.06E-107,-1.038811612,0.152,0.217,2.22E-102,0.513607036,0.249937551,-0.289369035,-0.60216849
CPEB2-DT,9.36E-11,-1.038885977,0.012,0.018,3.43E-06,0.035529815,0.017242975,-1.44940705,-1.763387804
C2orf27A,2.91E-48,-1.040748035,0.055,0.085,1.06E-43,0.155511515,0.075540816,-0.808237448,-1.121818331
AC018742.1,2.65E-10,-1.040805744,0.016,0.024,9.69E-06,0.050097616,0.024300741,-1.300182939,-1.61438049
HCG11,4.33E-17,-1.041060406,0.015,0.025,1.58E-12,0.037798189,0.018319288,-1.422529003,-1.737091414
AC093425.1,2.14E-24,-1.041339966,0.014,0.027,7.82E-20,0.052954942,0.02568003,-1.276093499,-1.590404467
AC254629.1,9.32E-39,-1.042461131,0.04,0.064,3.41E-34,0.126272955,0.061255828,-0.898689654,-1.212852582
LINC01358,1.29E-07,-1.042819863,0.006,0.01,0.00472154,0.024416822,0.011801876,-1.612310869,-1.928048963
LIPG,2.37E-39,-1.044544151,0.076,0.106,8.69E-35,0.240344488,0.11646903,-0.619165834,-0.933789541
HSP90AA1,0,-1.044603482,0.721,0.731,0,6.516432831,3.158974604,0.814009923,0.499546134
ARHGAP42,8.01E-182,-1.049007484,0.191,0.283,2.93E-177,0.777491075,0.375712333,-0.109304588,-0.425144548
TMC6,4.69E-41,-1.049771364,0.064,0.093,1.72E-36,0.203628945,0.098312359,-0.691160489,-1.007391884
NCK2,1.25E-159,-1.04985323,0.227,0.312,4.59E-155,0.83503152,0.403285144,-0.078297131,-0.394387775
LINC01762,3.01E-08,-1.051292932,0.026,0.034,0.001102035,0.094539676,0.045569222,-1.024385888,-1.341328382
AL390957.1,3.67E-10,-1.051501462,0.021,0.029,1.34E-05,0.08172251,0.039378784,-1.087658301,-1.404737694
IFNGR1,1.13E-166,-1.052964145,0.198,0.285,4.14E-162,0.738741006,0.356006552,-0.131507794,-0.448542009
HMOX1,1.07E-08,-1.053353732,0.078,0.089,0.000392124,0.258450506,0.124484,-0.587622613,-0.904886465
AC105942.1,7.18E-46,-1.054005117,0.032,0.057,2.63E-41,0.089941232,0.04326879,-1.046041169,-1.36382525
NUP210,2.21E-12,-1.054469572,0.048,0.06,8.09E-08,0.170995307,0.082280292,-0.767015808,-1.084704174
MGAM2,5.30E-186,-1.05560482,0.166,0.257,1.94E-181,0.750490254,0.361007935,-0.124654943,-0.442483252
CTDSPL,5.06E-183,-1.055680562,0.14,0.23,1.85E-178,0.524060341,0.252060289,-0.280618705,-0.59849557
POU5F1,6.47E-54,-1.05694935,0.057,0.09,2.37E-49,0.17988406,0.08641125,-0.74500732,-1.063429713
MAP3K20-AS1,4.54E-16,-1.058744062,0.006,0.012,1.66E-11,0.020595603,0.009837366,-1.686225491,-2.007121186
STK17B,1.06E-29,-1.059574205,0.211,0.237,3.88E-25,0.867740724,0.416269574,-0.06161002,-0.380625332
FRRS1,1.14E-50,-1.061768689,0.039,0.068,4.16E-46,0.129933015,0.062194128,-0.886280484,-1.20625062
ZBTB25,1.24E-09,-1.061968864,0.034,0.043,4.52E-05,0.114555415,0.05481996,-0.940984377,-1.261061285
PTPN1,3.84E-18,-1.065502821,0.153,0.176,1.40E-13,0.588831115,0.281297533,-0.230009249,-0.550834077
ATRN,3.04E-169,-1.066725437,0.272,0.349,1.11E-164,1.147224376,0.547636901,0.059648366,-0.261507296
LIF,3.24E-14,-1.06700821,0.014,0.022,1.19E-09,0.036280048,0.01726718,-1.440332143,-1.762778592
MGST1,4.43E-278,-1.068129994,0.455,0.511,1.62E-273,2.555808436,1.218909522,0.407528299,0.08597147
AC115619.1,1.81E-14,-1.069657225,0.021,0.031,6.62E-10,0.062396551,0.029678148,-1.204839414,-1.527563199
MIER3,9.52E-92,-1.070273955,0.091,0.144,3.48E-87,0.353300587,0.168202251,-0.451855641,-0.774168196
ADGRL1,2.70E-41,-1.072707364,0.035,0.059,9.89E-37,0.105536252,0.050125091,-0.976598333,-1.299944825
KNTC1,7.54E-35,-1.072762631,0.039,0.062,2.76E-30,0.156021971,0.074124472,-0.80681424,-1.130038389
BCORL1,6.15E-15,-1.07287174,0.028,0.04,2.25E-10,0.085992346,0.040828752,-1.065540205,-1.389033893
PON2,1.35E-224,-1.072936663,0.271,0.371,4.94E-220,1.067400096,0.507339498,0.028327237,-0.294701325
MYO1B,5.09E-99,-1.073065488,0.18,0.244,1.86E-94,0.785341021,0.373229264,-0.104941718,-0.428024311
ATP7B,1.39E-94,-1.073510458,0.095,0.149,5.07E-90,0.307262039,0.145949473,-0.512491092,-0.835797468
LINC01605,6.61E-26,-1.073800458,0.013,0.026,2.42E-21,0.039365337,0.018651542,-1.404886023,-1.729285259
