Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,logEpithelialcells,logGobletcells
AC010998.3,0,6.28736971,0.015,0,0,0.000462111,0.036638296,-3.335254064,-1.436064733
CLCA1,0,6.19342746,0.669,0.07,0,0.482112899,35.28275031,-0.316851248,1.547562431
OR8D4,0,5.998072697,0.043,0.001,0,0.001616868,0.103777281,-2.791325442,-0.983897714
CLCA2,0,5.956173294,0.029,0.001,0,0.000859403,0.053777947,-3.06580298,-1.269395777
FCGBP,0,5.842236406,0.83,0.186,0,1.111231073,63.75223359,0.045804377,1.804495405
NAT8,0,5.579823448,0.049,0.001,0,0.00164816,0.079143173,-2.783000571,-1.101586542
AC011523.1,0,5.566411308,0.073,0.002,0,0.003140999,0.149151093,-2.502932169,-0.82637356
REP15,0,5.437525226,0.442,0.02,0,0.04295819,1.86195472,-1.366954023,0.269969115
KLK3,0,5.43077224,0.058,0.001,0,0.002659701,0.115001899,-2.575167129,-0.939294986
AC091544.4,0,5.408009275,0.036,0.001,0,0.001733284,0.073865769,-2.761130153,-1.131556778
ZG16,0,5.340592983,0.657,0.147,0,1.29065534,52.29872464,0.110810283,1.718491098
FER1L6-AS1,0,5.317785396,0.018,0.001,0,0.001567671,0.062779034,-2.804745055,-1.20218537
GALNT8,0,5.29599334,0.519,0.038,0,0.1006523,3.954610631,-0.997176295,0.59710373
AP003062.2,0,5.293523699,0.036,0.002,0,0.001682789,0.066246159,-2.773970395,-1.178839298
RHBDL3,0,5.260758194,0.066,0.002,0,0.003756142,0.144248616,-2.425258042,-0.840888346
BEST2,0,5.228321486,0.192,0.006,0,0.013171222,0.493984272,-1.880373933,-0.306286878
ITLN1,0,5.187710931,0.46,0.03,0,0.158768146,5.786779165,-0.799236627,0.762436909
SPINK4,0,5.141206452,0.752,0.099,0,0.767131377,27.0726383,-0.115130253,1.432530581
CAPN9,0,5.133059815,0.247,0.011,0,0.020662285,0.72529098,-1.684821644,-0.139487724
SLITRK6,0,5.014022041,0.069,0.003,0,0.003683309,0.119211111,-2.433761796,-0.923683265
LRRC26,0,4.972735312,0.427,0.028,0,0.052124558,1.636946597,-1.282957612,0.214034512
FER1L6,0,4.923168571,0.322,0.022,0,0.072422107,2.197495226,-1.140128842,0.34192794
MUC2,0,4.869739819,0.763,0.109,0,0.84118575,24.59419853,-0.075108093,1.390832674
ATOH1,0,4.857566245,0.34,0.015,0,0.039168174,1.135719177,-1.407066676,0.055270959
AL672277.1,0,4.846084099,0.02,0.001,0,0.001070585,0.030958857,-2.970379024,-1.509215083
ABCA4,0,4.810939914,0.064,0.004,0,0.008253292,0.231828703,-2.083372811,-0.634832794
TFF3,0,4.788663144,0.972,0.467,0,5.070438479,140.1448857,0.705045518,2.146577254
AC005703.3,0,4.757463871,0.043,0.002,0,0.002806699,0.076070076,-2.551804211,-1.11878615
RETNLB,0,4.751618209,0.364,0.039,0,0.134912677,3.634549942,-0.869947241,0.560450641
LINC02343,0,4.717348119,0.095,0.005,0,0.010347847,0.272363846,-1.985150018,-0.564850542
LINC00930,4.30E-188,4.639637787,0.01,0,1.58E-183,0.000738338,0.018542077,-3.131744992,-1.731841631
AC099520.1,0,4.62730155,0.065,0.004,0,0.010757891,0.266014707,-1.968272852,-0.575094353
MB,0,4.591012711,0.181,0.011,0,0.01909359,0.460303132,-1.719112418,-0.33695607
TRPA1,0,4.587932962,0.079,0.004,0,0.010282626,0.247422481,-1.987895957,-0.606560843
B3GNT6,0,4.580323444,0.188,0.009,0,0.020618067,0.493374854,-1.685752047,-0.306822989
KCNMA1,0,4.528287422,0.51,0.05,0,0.165707556,3.823901235,-0.780657687,0.582506667
LINC00261,0,4.510575694,0.353,0.019,0,0.065075328,1.483441519,-1.186583637,0.17127043
CCDC60,0,4.479737689,0.102,0.005,0,0.009700749,0.216559099,-2.013194717,-0.664423564
VIT,0,4.28824281,0.054,0.005,0,0.007549458,0.147600868,-2.122084224,-0.830911088
FRZB,0,4.269244087,0.2,0.011,0,0.026889663,0.518602851,-1.570414637,-0.2851651
SCEL,8.77E-177,4.228302706,0.01,0.001,3.21E-172,0.000975162,0.018367963,-3.010923114,-1.735939012
AP001160.1,0,4.197454901,0.156,0.018,0,0.026844419,0.492595796,-1.571145993,-0.307509299
SLC34A3,0,4.176455365,0.07,0.005,0,0.006647679,0.120286233,-2.177329944,-0.919784076
PCAT18,0,4.173434263,0.033,0.002,0,0.003319677,0.059984563,-2.4789042,-1.221960501
AC069549.1,0,4.166558035,0.123,0.009,0,0.016030368,0.287958194,-1.795056512,-0.540670558
RAP1GAP,0,4.141688414,0.305,0.026,0,0.047396031,0.836675218,-1.324258028,-0.077443095
AL512328.1,0,4.121435616,0.031,0.002,0,0.004469712,0.077875616,-2.349720444,-1.108598507
CA8,0,4.057192284,0.319,0.033,0,0.075854442,1.262824794,-1.120018983,0.1013431
MYRIP,0,4.053056983,0.435,0.05,0,0.137388549,2.280637792,-0.862049464,0.358056317
AC125603.2,1.52E-259,4.050094125,0.019,0.002,5.58E-255,0.002688257,0.04460537,-2.570529292,-1.350612854
AP002498.1,0,4.010109841,0.153,0.013,0,0.021439132,0.345508426,-1.668792798,-0.461541357
SPDEF,0,3.999287384,0.364,0.037,0,0.074112792,1.185288252,-1.130106823,0.07382398
WFDC10B,0,3.961729932,0.034,0.002,0,0.003533309,0.055119025,-2.451818437,-1.25869847
ANO7,0,3.907585515,0.24,0.019,0,0.041579317,0.624051872,-1.381122644,-0.20477931
ANKFN1,0,3.89223978,0.082,0.008,0,0.015388672,0.228558225,-1.812798861,-0.641003146
GAU1,0,3.853629087,0.337,0.04,0,0.081508478,1.178370572,-1.088797216,0.071281888
SMIM33,0,3.819378313,0.057,0.006,0,0.006570107,0.092806075,-2.182427585,-1.032423596
SLC7A4,0,3.811985009,0.027,0.003,0,0.003935231,0.055324588,-2.405029755,-1.257081815
AC025265.2,1.81E-134,3.805241568,0.01,0.001,6.61E-130,0.001055543,0.014809727,-2.976524019,-1.829452962
FAM177B,0,3.798519191,0.123,0.012,0,0.030361457,0.422518347,-1.517677388,-0.374154427
AL133372.2,0,3.798357209,0.021,0.001,0,0.002079668,0.028987573,-2.682006051,-1.537788144
KLK4,0,3.759790339,0.037,0.003,0,0.004288527,0.058142634,-2.367691865,-1.235505299
FMOD,0,3.750817152,0.15,0.012,0,0.02362627,0.318105821,-1.626604841,-0.497428384
CNTNAP3B,0,3.745066241,0.056,0.004,0,0.006922107,0.092863837,-2.159761666,-1.032153378
TTC39A-AS1,0,3.742495777,0.048,0.005,0,0.006137682,0.082199255,-2.211995634,-1.085132118
AL162725.2,0,3.741834677,0.066,0.005,0,0.008133156,0.108857847,-2.089740883,-0.963140258
LINC02688,0,3.692541309,0.04,0.004,0,0.006846765,0.088567701,-2.164514549,-1.05272463
WNT9A,0,3.673196283,0.057,0.004,0,0.008054358,0.102792352,-2.093969075,-0.988039195
ANO1,0,3.669534766,0.125,0.013,0,0.020747706,0.264047913,-1.683029918,-0.578317261
STXBP5-AS1,0,3.65238423,0.325,0.048,0,0.101342433,1.27433376,-0.994208675,0.105283189
REG4,0,3.626158232,0.35,0.051,0,0.503386857,6.215658599,-0.298098128,0.793487152
AL133297.2,0,3.613845194,0.044,0.004,0,0.004896221,0.059983236,-2.310138972,-1.221970107
KLHL32,0,3.61241474,0.169,0.02,0,0.044877759,0.548919047,-1.347968834,-0.260491699
FABP6,0,3.555384459,0.423,0.102,0,5.698765952,66.99747376,0.755780821,1.826058427
DLL1,0,3.525595477,0.175,0.019,0,0.035096244,0.404211003,-1.454739364,-0.393391869
CACNA2D2,0,3.519303013,0.081,0.005,0,0.011884081,0.136298602,-1.925034379,-0.8655086
ST6GALNAC1,0,3.514574799,0.624,0.176,0,0.39932594,4.563764401,-0.398672478,0.659323216
KLK15,0,3.507381941,0.043,0.004,0,0.00611612,0.069584768,-2.213523981,-1.157485815
FGFR2,0,3.506921429,0.306,0.046,0,0.087829713,0.998492246,-1.056358535,-0.000655304
AC004034.1,0,3.505636879,0.026,0.002,0,0.003839661,0.043644559,-2.415707143,-1.360069887
CCL26,0,3.491801261,0.022,0.002,0,0.003523476,0.039670548,-2.45302864,-1.401531796
MLPH,0,3.4914184,0.383,0.048,0,0.115554559,1.299629996,-0.937212914,0.113819726
AL136090.2,1.66E-173,3.480439829,0.012,0.001,6.07E-169,0.001801373,0.020137946,-2.74439634,-1.695984822
TBX10,0,3.470436636,0.107,0.014,0,0.022078418,0.244753857,-1.656032053,-0.611270455
ROBO2,0,3.456877008,0.108,0.017,0,0.036855306,0.404721937,-1.433499982,-0.392843255
AC007325.4,0,3.454547428,0.032,0.003,0,0.004115518,0.045148368,-2.385575457,-1.345357943
AL049779.4,0,3.438118765,0.142,0.027,0,0.050110136,0.543158055,-1.300074416,-0.265073776
FFAR4,0,3.436701838,0.113,0.01,0,0.024232122,0.262416318,-1.615608554,-0.581009162
HPN,2.48E-269,3.429350084,0.018,0.002,9.09E-265,0.002706413,0.029185448,-2.567605858,-1.534833639
SRPK3,2.83E-122,3.414816092,0.011,0.001,1.03E-117,0.002054091,0.02193533,-2.68738036,-1.658855825
CASR,0,3.406813998,0.022,0.002,0,0.005728594,0.060785633,-2.241951923,-1.216199059
ATP12A,6.23E-164,3.390591016,0.013,0.001,2.28E-159,0.001991933,0.02091731,-2.700725362,-1.679494162
LTF,4.66E-188,3.390349717,0.012,0.001,1.70E-183,0.001708594,0.017942808,-2.767361006,-1.746109598
NRAP,2.60E-161,3.388396152,0.011,0.001,9.52E-157,0.001650876,0.017314059,-2.782285491,-1.761601108
FFAR2,3.26E-194,3.388049771,0.015,0.002,1.19E-189,0.003320314,0.034787211,-2.478820832,-1.458580389
WFDC3,0,3.38468235,0.084,0.009,0,0.014199099,0.148330306,-1.847739213,-0.828770108
KLK1,0,3.382730484,0.509,0.134,0,0.34016781,3.548132353,-0.468306787,0.549999812
NTN4,0,3.370904679,0.341,0.063,0,0.13479763,1.394548927,-0.870317745,0.144433756
WNT4,0,3.357892682,0.035,0.003,0,0.00631917,0.064812025,-2.19933994,-1.188344406
CPNE4,0,3.335136898,0.114,0.01,0,0.030172249,0.304521642,-1.52039232,-0.516381837
CRACR2A,0,3.325392699,0.443,0.09,0,0.255803028,2.564204203,-0.59209432,0.408952608
BCAS1,0,3.314103465,0.526,0.12,0,0.376840352,3.74804334,-0.4238426,0.573804604
SLC2A10,0,3.311300268,0.182,0.026,0,0.042381342,0.420725545,-1.372825297,-0.376001118
DNAJC12,0,3.302334287,0.136,0.012,0,0.025689479,0.253451657,-1.590244702,-0.596104865
STXBP1,0,3.300444209,0.133,0.011,0,0.027220025,0.268198983,-1.565111481,-0.571542873
AL442071.2,5.13E-93,3.298255078,0.012,0.002,1.88E-88,0.002747037,0.027045345,-2.561135512,-1.567907482
SYTL5,0,3.273950374,0.105,0.014,0,0.030274332,0.292861773,-1.518925424,-0.533337313
PTPRN2,0,3.215513134,0.462,0.077,0,0.275406756,2.558253203,-0.56002541,0.407943527
CPO,0,3.20794073,0.214,0.03,0,0.06520616,0.602542405,-1.185711373,-0.220012384
HSD3B1,0,3.20577226,0.044,0.005,0,0.006550019,0.060450666,-2.183757414,-1.218598912
NPDC1,0,3.205413053,0.468,0.101,0,0.194736417,1.79629165,-0.710552825,0.254376851
FOXA2,0,3.197846077,0.177,0.024,0,0.041548728,0.38126302,-1.381442266,-0.418775316
KRT14,0,3.192359317,0.076,0.009,0,0.014252844,0.130302636,-1.846098469,-0.885046799
CELA3A,0,3.190497124,0.028,0.003,0,0.00559857,0.051127412,-2.251922882,-1.291346194
FER1L6-AS2,8.36E-248,3.175473812,0.019,0.002,3.06E-243,0.005020674,0.04537611,-2.299237951,-1.34317274
LINC01644,1.01E-176,3.165830236,0.011,0.001,3.70E-172,0.003004685,0.026980971,-2.52220111,-1.568942428
AL603756.1,3.84E-114,3.150991082,0.02,0.005,1.41E-109,0.011150475,0.099060581,-1.952706637,-1.00409913
KSR2,0,3.100363833,0.154,0.023,0,0.044026072,0.377595426,-1.356290057,-0.422973275
PRUNE2,0,3.097629835,0.428,0.094,0,0.235632493,2.017053035,-0.627764823,0.304717318
CELA3B,0,3.089635638,0.082,0.011,0,0.020190447,0.171889384,-1.694854067,-0.764750945
SERPINA1,0,3.083140681,0.687,0.181,0,0.947248314,8.02753663,-0.023536159,0.904582296
PKP1,5.76E-139,3.079431784,0.012,0.001,2.11E-134,0.002510212,0.021229821,-2.600289538,-1.673053669
AP003555.2,0,3.0696693,0.109,0.016,0,0.026677806,0.223992784,-1.573849885,-0.649765972
DSCAML1,0,3.057101354,0.179,0.02,0,0.061261318,0.509887615,-1.212813661,-0.292525537
AC008609.1,0,3.042144848,0.079,0.01,0,0.014090294,0.116073647,-1.85107993,-0.935266369
TMEM252,0,3.036797817,0.05,0.007,0,0.010266006,0.084259353,-1.988598485,-1.07438188
RASD2,0,3.024317143,0.046,0.005,0,0.009791001,0.079668485,-2.009172886,-1.098713443
TMEM61,0,3.01535092,0.16,0.02,0,0.038598612,0.31210074,-1.413428315,-0.505705202
SYT7,0,3.001516784,0.078,0.011,0,0.01977108,0.158343076,-1.703969618,-0.800400923
CNTNAP3,2.19E-172,2.995984237,0.013,0.001,8.03E-168,0.002102947,0.016784641,-2.677171605,-1.775087932
ARHGAP31,0,2.988506229,0.128,0.01,0,0.040871413,0.324384225,-1.388580347,-0.488940274
CUBN,0,2.988501132,0.25,0.036,0,0.174226393,1.382753567,-0.758886054,0.140744788
LINC01443,3.03E-239,2.980062778,0.026,0.004,1.11E-234,0.006362322,0.050207178,-2.196384381,-1.299234188
AC022182.1,0,2.944178397,0.179,0.025,0,0.055161786,0.42455126,-1.258361679,-0.372069866
SEMA3G,2.47E-157,2.935239009,0.012,0.001,9.04E-153,0.002730155,0.020887799,-2.563812702,-1.680107313
FAM151A,0,2.935178324,0.175,0.04,0,0.087198083,0.666940529,-1.059493064,-0.17591289
LHFPL3,0,2.928807736,0.128,0.033,0,0.053980904,0.411059288,-1.267759848,-0.386095534
TNFRSF11B,0,2.921604178,0.087,0.011,0,0.022156655,0.167883109,-1.654495799,-0.774992996
AL445253.1,7.42E-119,2.917115866,0.011,0.002,2.72E-114,0.002313379,0.017478333,-2.635753145,-1.757499986
SIDT1-AS1,3.59E-147,2.906699128,0.025,0.006,1.31E-142,0.008075744,0.060564208,-2.092817435,-1.217783958
AC243829.2,0,2.896579503,0.045,0.006,0,0.009317908,0.069390384,-2.030681565,-1.158700706
LINC01344,0,2.88446661,0.052,0.011,0,0.018751903,0.138473482,-1.726954662,-0.858633388
SCGB2A1,0,2.873129732,0.075,0.01,0,0.018113563,0.132712377,-1.741996106,-0.877088572
LINC02753,3.75E-120,2.871920736,0.015,0.003,1.37E-115,0.00333466,0.02441381,-2.476948465,-1.612364439
AC009509.1,3.89E-105,2.857484594,0.017,0.004,1.43E-100,0.004019758,0.029135455,-2.395800135,-1.535578196
RAB26,0,2.850510539,0.28,0.051,0,0.092946933,0.670386894,-1.031764937,-0.173674485
GALNT5,0,2.834108803,0.391,0.089,0,0.194247541,1.385184787,-0.71164447,0.141507713
CYP2D6,0,2.82919599,0.203,0.044,0,0.088672333,0.630175899,-1.052211867,-0.20053821
DRAIC,0,2.818698406,0.161,0.024,0,0.051170117,0.361019034,-1.290983591,-0.4424699
AC145146.1,0,2.809141618,0.058,0.01,0,0.014243061,0.099825391,-1.846396655,-1.000758979
TFF1,0,2.788152746,0.17,0.045,0,0.433022124,2.991077337,-0.363489914,0.475827642
WFDC2,0,2.768002785,0.311,0.082,0,0.264401686,1.801008746,-0.57773578,0.255515822
AC015712.1,4.01E-107,2.742227678,0.011,0.002,1.47E-102,0.002914278,0.01949749,-2.535469078,-1.710021289
AC004556.3,0,2.733665524,0.081,0.02,0,0.016958456,0.112795739,-1.770613683,-0.947707307
AL121944.1,0,2.731233313,0.123,0.031,0,0.045233466,0.300358227,-1.344540138,-0.522360469
RNASE1,0,2.719993407,0.48,0.154,0,0.430431544,2.835980661,-0.366095909,0.452703265
GNA14,0,2.71086869,0.284,0.061,0,0.176625424,1.15639135,-0.752946783,0.063104835
LINC02795,5.38E-124,2.708758377,0.011,0.001,1.97E-119,0.00268164,0.017528265,-2.571599462,-1.75626108
UPK3A,5.18E-295,2.705063861,0.028,0.004,1.90E-290,0.005747375,0.03747455,-2.240530434,-1.426263573
LINC00570,3.12E-284,2.686154151,0.027,0.004,1.14E-279,0.006436479,0.041420913,-2.19135166,-1.382780333
TPSG1,0,2.685624262,0.214,0.037,0,0.089786758,0.577647306,-1.046787708,-0.238337248
AGT,3.24E-259,2.673905538,0.023,0.003,1.19E-254,0.004568927,0.029152422,-2.340185765,-1.535325365
TCN2,0,2.67141363,0.267,0.075,0,0.124925595,0.795837901,-0.903348575,-0.099175382
EIF2S3B,7.25E-64,2.66497369,0.013,0.004,2.65E-59,0.006029667,0.03823641,-2.219706642,-1.417522889
L1TD1,0,2.661688493,0.227,0.046,0,0.127069942,0.804059732,-0.89595717,-0.094711687
CREB3L4,0,2.65822367,0.133,0.029,0,0.040060117,0.252876707,-1.397287788,-0.597091172
SDR42E2,0,2.657638051,0.044,0.007,0,0.01153624,0.07278864,-1.937935717,-1.137936397
SERTAD4-AS1,9.95E-304,2.654238806,0.037,0.007,3.64E-299,0.009160279,0.0576602,-2.038091316,-1.239123853
AC005993.1,1.22E-148,2.653188179,0.019,0.004,4.45E-144,0.005538753,0.034836769,-2.256587978,-1.457962137
UBD,3.37E-235,2.6495069,0.03,0.006,1.23E-230,0.008849662,0.055522245,-2.053073302,-1.255532982
TRIM31-AS1,0,2.647594106,0.142,0.033,0,0.063095543,0.395364923,-1.200001316,-0.403001864
PKD1L3,0,2.642724114,0.047,0.01,0,0.016998207,0.106150029,-1.769596883,-0.974079881
SLC16A7,0,2.631604646,0.192,0.023,0,0.093656695,0.580398687,-1.028461174,-0.236273578
SLC24A3,0,2.623149183,0.308,0.072,0,0.210486498,1.296787439,-0.676775757,0.112868795
HAPLN1,0,2.619422178,0.043,0.008,0,0.018185958,0.111747225,-1.74026381,-0.951763252
ACPP,0,2.618131939,0.087,0.016,0,0.031988864,0.196390859,-1.495001177,-0.70687873
SLC12A8,0,2.607998288,0.328,0.092,0,0.169924347,1.035949463,-0.76974439,0.015338569
TNNC2,0,2.595493789,0.299,0.068,0,0.114530967,0.692213459,-0.941077071,-0.159759961
SLC7A14-AS1,5.22E-136,2.590165472,0.018,0.004,1.91E-131,0.006963012,0.041921869,-2.157202883,-1.377559369
PDE1A,0,2.589481424,0.044,0.008,0,0.018159681,0.109292742,-1.740891794,-0.96140868
AC009271.1,4.89E-166,2.588995333,0.02,0.004,1.79E-161,0.008160698,0.049094074,-2.088272671,-1.308970925
AC068774.1,1.08E-127,2.583606791,0.018,0.004,3.95E-123,0.007745022,0.046419131,-2.110977362,-1.333302995
SH3PXD2A-AS1,5.33E-48,2.581262921,0.012,0.004,1.95E-43,0.005795647,0.034677398,-2.236898072,-1.459953496
SYTL2,0,2.581248274,0.613,0.249,0,0.834256554,4.992661682,-0.078700373,0.698332138
LINC01550,0,2.578898781,0.125,0.024,0,0.043908911,0.262340981,-1.357447334,-0.581133862
PODXL,0,2.577786844,0.065,0.012,0,0.019363474,0.115596882,-1.713016733,-0.937053882
RAB15,0,2.57607913,0.19,0.042,0,0.066492575,0.396498848,-1.177226846,-0.40175807
AC025580.3,0,2.573186734,0.073,0.015,0,0.025408261,0.151202604,-1.595025059,-0.82044073
AC087854.1,0,2.562931793,0.118,0.021,0,0.044738807,0.264356867,-1.349315602,-0.577809404
LINC02489,4.56E-125,2.56237041,0.017,0.004,1.67E-120,0.004956406,0.029268347,-2.304833144,-1.533601803
AC022217.3,0,2.547195899,0.237,0.055,0,0.112947445,0.660166062,-0.947123588,-0.180346806
KCNH6,0,2.541291054,0.068,0.011,0,0.018785381,0.109342848,-1.726179988,-0.961209617
MLIP,2.20E-111,2.537776451,0.027,0.009,8.05E-107,0.016956579,0.098456934,-1.770661773,-1.006753691
RBP4,0,2.53729497,0.045,0.006,0,0.01250012,0.072554341,-1.903085816,-1.139336596
AL136114.1,4.40E-164,2.536851652,0.029,0.007,1.61E-159,0.012040106,0.069862477,-1.919369673,-1.155756021
HES6,0,2.53433096,0.299,0.084,0,0.179869425,1.041989344,-0.745042654,0.017863278
ARSJ,0,2.528904673,0.066,0.011,0,0.023202074,0.133897847,-1.634473189,-0.873226405
AP003059.2,2.42E-267,2.512211966,0.038,0.008,8.86E-263,0.010956169,0.062494731,-1.960341283,-1.204156598
PMP22,0,2.511562502,0.298,0.094,0,0.262382707,1.49619457,-0.581064792,0.174988074
WNK4,0,2.505932003,0.227,0.051,0,0.096994954,0.550937269,-1.013250858,-0.258897848
CACNA1F,5.09E-120,2.495265776,0.015,0.003,1.86E-115,0.005289558,0.029814152,-2.276580638,-1.525577541
KIF19,0,2.495138199,0.059,0.008,0,0.019762558,0.111407724,-1.704156846,-0.953084696
KCTD16,2.85E-283,2.494449612,0.039,0.008,1.04E-278,0.019355318,0.109059684,-1.7131997,-0.962335763
C9orf24,0,2.486423629,0.118,0.028,0,0.035501904,0.198937734,-1.449748357,-0.701282834
AC022613.2,6.57E-149,2.484979502,0.019,0.004,2.40E-144,0.004563879,0.025539416,-2.340665891,-1.592789039
AL606807.1,6.55E-249,2.483586346,0.021,0.003,2.40E-244,0.0057653,0.032234097,-2.239178058,-1.49168449
RGS22,1.93E-145,2.482317792,0.016,0.003,7.08E-141,0.006299054,0.035188305,-2.20072467,-1.453601652
MARVELD1,0,2.481708131,0.101,0.024,0,0.033606599,0.187702,-1.473575441,-0.726531099
GRIP2,9.16E-141,2.478737952,0.014,0.002,3.35E-136,0.003778375,0.02105046,-2.42269493,-1.676738418
TERT,6.91E-252,2.477971419,0.036,0.008,2.53E-247,0.011761147,0.065512354,-1.929550321,-1.183676794
AC104781.2,5.23E-108,2.474609901,0.011,0.002,1.91E-103,0.003325597,0.018473543,-2.478130381,-1.733449795
SLC7A9,0,2.458823875,0.281,0.095,0,0.21601596,1.187576245,-0.66551416,0.074661502
GPX8,1.55E-130,2.458369852,0.013,0.002,5.68E-126,0.003866172,0.021237137,-2.412718822,-1.672904026
SMAD9,0,2.456101183,0.137,0.022,0,0.054495201,0.299021268,-1.263641738,-0.524297922
GNE,0,2.454998375,0.393,0.1,0,0.261263268,1.432527905,-0.582921645,0.156103091
OSR2,0,2.453767678,0.106,0.023,0,0.032843364,0.179919419,-1.483552361,-0.744921961
TULP2,0,2.450076823,0.055,0.014,0,0.018495734,0.101057644,-1.73292843,-0.995430832
LINC02828,2.18E-167,2.449644644,0.02,0.004,7.97E-163,0.006525359,0.035635411,-2.185395607,-1.448118234
FKBP10,3.43E-120,2.444383668,0.01,0.001,1.26E-115,0.003039765,0.016533659,-2.517159999,-1.781631031
CFAP65,0,2.44196074,0.075,0.016,0,0.024638514,0.133869052,-1.60838548,-0.873319813
AC147067.1,2.78E-286,2.43635668,0.026,0.003,1.02E-281,0.008217862,0.044469276,-2.08524113,-1.351939937
ADIRF,1.84E-156,2.422556471,0.456,0.477,6.72E-152,2.892789071,15.50881411,0.461316768,1.19057859
DLGAP1,0,2.418688842,0.122,0.032,0,0.073943065,0.395350074,-1.131102549,-0.403018176
MCF2L2,0,2.414949955,0.302,0.108,0,0.23891322,1.27411411,-0.621759818,0.105208325
SPDYE21P,2.43E-214,2.411842916,0.05,0.016,8.91E-210,0.018841788,0.100254767,-1.724877885,-0.998894968
AC010336.8,8.69E-210,2.405431442,0.03,0.007,3.18E-205,0.008078365,0.042786008,-2.092676553,-1.368698231
AC243829.1,0,2.403772951,0.044,0.006,0,0.012043803,0.063721308,-1.919236345,-1.195715318
AC023157.3,0,2.395812934,0.154,0.039,0,0.0873349,0.459607545,-1.058812171,-0.337612851
FGF19,2.20E-111,2.393285304,0.011,0.002,8.04E-107,0.003692497,0.019385598,-2.432679854,-1.71252079
AC007786.1,8.75E-99,2.384643203,0.012,0.002,3.20E-94,0.003341268,0.017435332,-2.476088727,-1.758569777
EML6,0,2.380022625,0.156,0.031,0,0.091120485,0.474309653,-1.040383979,-0.323938037
CREB3L1,0,2.377955157,0.421,0.147,0,0.295091148,1.533868772,-0.530043818,0.185788206
AGBL1,0,2.375965366,0.047,0.01,0,0.02145665,0.111364332,-1.668438083,-0.953253884
ROR2,0,2.362545841,0.081,0.015,0,0.03816304,0.196249898,-1.418357035,-0.707190559
SPDYE2,0,2.359434556,0.117,0.035,0,0.046607274,0.239160218,-1.331546297,-0.621311059
AL596218.1,1.61E-215,2.357225734,0.027,0.005,5.89E-211,0.007592703,0.038889789,-2.119603604,-1.41016441
FMO1,0,2.355031732,0.105,0.02,0,0.035216341,0.18015466,-1.453255768,-0.744354499
AC011498.1,5.55E-273,2.350949849,0.042,0.01,2.03E-268,0.018279812,0.093242108,-1.738028281,-1.030387915
RASD1,0,2.35069631,0.165,0.036,0,0.088282613,0.450289265,-1.054124821,-0.346508406
CHRNA5,0,2.344333372,0.078,0.018,0,0.029279169,0.14867278,-1.53344125,-0.827768537
AL022238.2,3.88E-164,2.343260841,0.046,0.017,1.42E-159,0.021912413,0.111179777,-1.659309792,-0.953974201
DPEP1,0,2.339481225,0.395,0.29,0,1.239806683,6.274902659,0.093353973,0.797606993
CELSR1,0,2.335096991,0.059,0.008,0,0.019096756,0.096344736,-1.719040392,-1.016172007
LINC01435,3.67E-79,2.335092645,0.01,0.002,1.34E-74,0.004519815,0.022791624,-2.344879352,-1.642224726
AC008870.3,1.58E-63,2.334789886,0.012,0.003,5.78E-59,0.004359378,0.021977465,-2.360575432,-1.658022412
AL365226.2,0,2.333721779,0.19,0.069,0,0.168416982,0.848982316,-0.773614121,-0.071101356
ARFGEF3,0,2.333190118,0.415,0.14,0,0.341203748,1.719373787,-0.466986207,0.235370301
KIAA2012,3.13E-91,2.329968226,0.014,0.003,1.15E-86,0.005469436,0.027485262,-2.262057488,-1.560900115
AC079790.2,1.98E-83,2.327895892,0.011,0.002,7.24E-79,0.003467836,0.017396252,-2.459941418,-1.759544301
SPDYE1,1.05E-237,2.327666705,0.045,0.013,3.84E-233,0.01631541,0.081887379,-1.787401999,-1.08678303
SEMA3B-AS1,2.66E-202,2.324116422,0.022,0.004,9.73E-198,0.006415941,0.0321135,-2.192739618,-1.493312353
AC021148.2,6.36E-135,2.321706706,0.02,0.005,2.33E-130,0.00653926,0.032676317,-2.184471387,-1.485766899
LINC00589,1.22E-171,2.314846654,0.024,0.005,4.47E-167,0.009882684,0.049156322,-2.005125087,-1.308420621
CEP126,0,2.297129561,0.15,0.029,0,0.071074692,0.349301522,-1.148285012,-0.456799522
SLC17A8,0,2.287559131,0.045,0.008,0,0.014728712,0.07189404,-1.831835221,-1.143307109
TGFBI,0,2.287378898,0.055,0.006,0,0.020802166,0.101533734,-1.681891444,-0.993389643
SLC10A2,0,2.28714264,0.219,0.04,0,0.130621819,0.637534151,-0.883984274,-0.195496547
AP003059.1,0,2.282599305,0.055,0.015,0,0.020853735,0.101448648,-1.680816152,-0.993753738
MATN1,3.51E-134,2.272917511,0.019,0.004,1.29E-129,0.008644149,0.041760888,-2.063277778,-1.379230271
OSBPL6,0,2.272713561,0.134,0.038,0,0.067456787,0.325955987,-1.170974349,-0.486841038
SLC9A3R2,0,2.270356369,0.104,0.022,0,0.041334326,0.199397966,-1.383689135,-0.700279277
SLC36A4,0,2.265863038,0.254,0.063,0,0.142183117,0.683801964,-0.847151969,-0.165069656
ERN2,0,2.261807928,0.41,0.134,0,0.289004706,1.386027246,-0.539095086,0.141771768
MTSS2,0,2.261622595,0.047,0.009,0,0.017780653,0.085247129,-1.750052289,-1.069320238
