Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,log(Epithelialcells),log(Gobletcells)
KLK3,4.53E-152,7.298519102,0.027,0.001,1.66E-147,0.00080134,0.127503976,-3.096182908,-0.894476271
SPINK4,0,7.108762843,0.207,0.021,0,0.126217205,17.42193067,-0.898881441,1.241096281
DEFA6,2.89E-17,6.992648188,0.022,0.005,1.06E-12,0.037479868,4.773964905,-1.426201945,0.678879222
FCGBP,0,6.987504644,0.87,0.079,0,0.458065291,58.12764848,-0.339072615,1.764382754
ITLN1,0,6.786371486,0.296,0.017,0,0.080521301,8.888852326,-1.094089215,0.948845691
CLDN18,3.85E-236,6.57732971,0.06,0.003,1.41E-231,0.003246924,0.310535012,-2.488527902,-0.507889428
CLCA1,0,6.436300361,0.815,0.066,0,0.499943735,43.29563371,-0.30107887,1.636444101
GALNT8,0,6.318102949,0.525,0.027,0,0.052593247,4.196571372,-1.279070014,0.622894614
REP15,0,6.277547627,0.37,0.017,0,0.029917706,2.321131718,-1.524071716,0.365699786
LINC02113,2.79E-162,6.247141126,0.029,0.001,1.02E-157,0.002453735,0.186580385,-2.610172333,-0.729134016
MUC5AC,5.77E-97,6.150078599,0.027,0.001,2.11E-92,0.001388153,0.098709563,-2.857562765,-1.005640772
ABCA4,0,6.084526316,0.243,0.012,0,0.020947087,1.42158891,-1.678876368,0.152774027
AC125603.2,1.17E-121,6.074199863,0.032,0.001,4.27E-117,0.002134622,0.143902473,-2.670679008,-0.841931743
AC091544.4,5.96E-207,6.030093417,0.069,0.004,2.18E-202,0.00448393,0.29306811,-2.348341165,-0.533031436
LINC00930,4.76E-50,5.972903888,0.016,0.001,1.74E-45,0.000822269,0.051657756,-3.084986248,-1.286864463
LRRC26,0,5.855377956,0.281,0.017,0,0.024672269,1.428354037,-1.607790917,0.154835867
AC011523.1,1.59E-138,5.848384637,0.032,0.001,5.80E-134,0.001886682,0.108640205,-2.724301204,-0.964009424
AC091544.5,4.89E-25,5.794147195,0.011,0.001,1.79E-20,0.000733459,0.040607355,-3.134624053,-1.391395294
MUC2,0,5.777989306,0.67,0.038,0,0.186116326,10.21241087,-0.730215529,1.009128279
CRACR2A,0,5.747641858,0.213,0.012,0,0.023399968,1.257150999,-1.630784741,0.099387445
CLCA2,1.33E-63,5.706596498,0.011,0,4.86E-59,0.000554657,0.028827143,-3.255975497,-1.540198394
MLPH,0,5.6447413,0.214,0.012,0,0.021192725,1.060117113,-1.673813195,0.025353845
ATOH1,0,5.628099852,0.294,0.022,0,0.035728241,1.76683039,-1.446988367,0.247194861
AC108721.2,9.67E-133,5.559053475,0.027,0.001,3.54E-128,0.003004033,0.141416811,-2.522295314,-0.84949896
AP001994.3,0,5.541048561,0.103,0.006,0,0.008215761,0.382315012,-2.085352186,-0.417578649
GAU1,0,5.506483544,0.249,0.019,0,0.026983843,1.226415338,-1.568896196,0.088637573
AC104781.2,3.33E-98,5.38555606,0.062,0.007,1.22E-93,0.009629975,0.402281765,-2.016374837,-0.395469653
MB,0,5.360553887,0.114,0.006,0,0.010290513,0.422493583,-1.987562967,-0.374179882
BCAS1,0,5.303280156,0.644,0.079,0,0.180515614,7.127574131,-0.743485227,0.852941743
TFF3,0,5.28686167,0.857,0.409,0,3.548416282,138.5279761,0.550034563,2.141537489
SPDEF,0,5.24923675,0.25,0.026,0,0.028895826,1.098698778,-1.539164892,0.040878641
AL136442.1,3.24E-55,5.248144051,0.017,0.001,1.18E-50,0.001724672,0.065207442,-2.763293549,-1.185702834
CAPN9,0,5.236365971,0.223,0.018,0,0.028757447,1.083716267,-1.541249677,0.034915592
AC097511.1,7.99E-97,5.217285846,0.041,0.003,2.93E-92,0.007203683,0.267635916,-2.142445419,-0.572455605
CALML3,2.12E-38,5.17965998,0.011,0.001,7.77E-34,0.000662611,0.023650599,-3.17874139,-1.626157864
KIF19,0,5.114043957,0.166,0.012,0,0.020795052,0.719791555,-1.682039994,-0.142793253
NXPE2,5.40E-29,5.084891692,0.018,0.002,1.98E-24,0.002759125,0.093245642,-2.559228625,-1.030371457
RASD2,8.06E-87,5.072238796,0.037,0.003,2.95E-82,0.003922595,0.131566501,-2.406426493,-0.880854676
SELENOM,0,5.061211454,0.581,0.075,0,0.232000404,7.745375421,-0.634511258,0.889042473
FER1L6,0,5.058436801,0.534,0.055,0,0.178374087,5.943513899,-0.748668237,0.774043283
ERN2,0,5.049593178,0.217,0.021,0,0.03070299,1.016447349,-1.512819323,0.007084887
CABP7,6.77E-86,5.047521344,0.034,0.002,2.48E-81,0.002830224,0.093190196,-2.54817916,-1.030629776
ANO7,9.54E-165,5.038644701,0.134,0.019,3.49E-160,0.022616371,0.742959101,-1.645577081,-0.129035093
AC099520.1,5.80E-82,4.984363681,0.053,0.006,2.12E-77,0.012621707,0.39911079,-1.898881902,-0.398906531
SCNN1A,0,4.971607186,0.178,0.018,0,0.029028426,0.910373131,-1.537176512,-0.040780568
LINC00382,1.07E-37,4.948316969,0.011,0.001,3.90E-33,0.001164972,0.035526233,-2.933684443,-1.449450839
AC004034.1,1.13E-143,4.938468509,0.076,0.007,4.14E-139,0.008489984,0.25989188,-2.071093114,-0.58520729
HEPACAM2,0,4.937095542,0.571,0.052,0,0.164473101,5.038142199,-0.78390512,0.702270421
LINC00261,0,4.927325019,0.327,0.029,0,0.055763385,1.696317878,-1.253650873,0.229507239
AC069549.1,7.92E-104,4.915110754,0.044,0.003,2.90E-99,0.006028944,0.18145083,-2.219758726,-0.741241041
LINC02343,3.13E-86,4.867115598,0.055,0.006,1.15E-81,0.010974923,0.319829345,-1.959598536,-0.495081692
FAM177B,1.29E-159,4.858791627,0.078,0.007,4.73E-155,0.010097074,0.292512369,-1.995804441,-0.533855765
PRSS2,3.03E-255,4.838470004,0.162,0.018,1.11E-250,0.190521509,5.450431926,-0.720055988,0.73643092
AC147067.1,7.60E-41,4.803521058,0.025,0.003,2.78E-36,0.003750425,0.104250371,-2.425919557,-0.981922392
PGA5,3.15E-35,4.798910578,0.014,0.001,1.15E-30,0.001329085,0.036513096,-2.876447323,-1.437551337
FITM1,1.84E-99,4.788409026,0.07,0.009,6.74E-95,0.008997621,0.248159587,-2.045872328,-0.605268942
ITLN2,3.82E-14,4.785145928,0.013,0.002,1.40E-09,0.009844381,0.270944046,-2.006811596,-0.567120388
KLK12,0,4.784670204,0.149,0.011,0,0.030183708,0.831470882,-1.520227405,-0.080152955
FER1L6-AS1,3.20E-113,4.76866893,0.055,0.005,1.17E-108,0.009915025,0.269782915,-2.003706202,-0.568985557
AC009163.6,1.25E-18,4.744707365,0.018,0.003,4.57E-14,0.002439008,0.064891514,-2.612786861,-1.187812096
MUC5B,9.69E-103,4.668280389,0.06,0.006,3.54E-98,0.008671555,0.219972002,-2.061903023,-0.657632592
MMP26,3.78E-29,4.591028072,0.019,0.002,1.38E-24,0.004581164,0.109874126,-2.339024129,-0.959104568
AL590226.2,1.14E-16,4.590753539,0.011,0.001,4.16E-12,0.001923389,0.045809894,-2.715932808,-1.339040709
GFI1,1.98E-113,4.559345976,0.044,0.003,7.23E-109,0.00506144,0.118792209,-2.295725949,-0.925212043
AC106795.2,1.50E-43,4.551989584,0.027,0.003,5.48E-39,0.00344071,0.080164959,-2.463351977,-1.096015426
DEFA5,1.25E-07,4.550311516,0.021,0.007,0.004587791,0.146388874,3.42940768,-0.83449193,0.535219116
LINC01124,2.17E-30,4.538596898,0.013,0.001,7.94E-26,0.001161747,0.026450864,-2.934888307,-1.577560142
TBILA,2.34E-45,4.525935774,0.04,0.006,8.56E-41,0.009473865,0.217705605,-2.023472797,-0.66213039
TMEM61,2.41E-134,4.520241311,0.081,0.009,8.84E-130,0.009899784,0.22661815,-2.004374263,-0.644705311
KLK15,5.52E-48,4.498305214,0.026,0.003,2.02E-43,0.003668153,0.082345064,-2.435552547,-1.084362428
WNT4,1.13E-49,4.457792941,0.029,0.003,4.14E-45,0.006303058,0.137942662,-2.200448722,-0.860301399
CAPN8,1.32E-109,4.434222128,0.127,0.024,4.82E-105,0.0368943,0.797042444,-1.433040727,-0.098518551
AL596330.2,9.34E-24,4.362512137,0.011,0.001,3.42E-19,0.002779422,0.056587291,-2.556045447,-1.247281096
LINC02489,1.49E-16,4.360168422,0.011,0.001,5.47E-12,0.001494367,0.030102565,-2.825542607,-1.521396498
PTGDR2,5.18E-102,4.354001823,0.047,0.004,1.90E-97,0.006746143,0.137367212,-2.170944463,-0.862116915
LINC00616,6.38E-208,4.276117032,0.107,0.01,2.33E-203,0.027355048,0.529397284,-1.562962526,-0.276218291
CHRND,1.05E-15,4.273523827,0.014,0.002,3.85E-11,0.002622711,0.050118965,-2.581249546,-1.299997908
LINC02795,7.68E-18,4.273360199,0.018,0.003,2.81E-13,0.005105067,0.098116761,-2.291998565,-1.008256797
FFAR4,4.12E-20,4.263806226,0.018,0.003,1.51E-15,0.004977295,0.095008811,-2.303006641,-1.022236119
EML6,9.91E-118,4.246554534,0.169,0.038,3.63E-113,0.05842217,1.108355734,-1.233422313,0.044679172
SCEL,9.44E-61,4.203264395,0.019,0.001,3.46E-56,0.004095498,0.074824793,-2.387693325,-1.125954478
AL589693.1,8.22E-93,4.167868358,0.082,0.012,3.01E-88,0.047081887,0.845642788,-1.327146143,-0.072813051
AL138930.1,4.58E-08,4.116626273,0.011,0.003,0.001676255,0.003256503,0.055858219,-2.487248567,-1.252912913
LINC01060,5.04E-43,4.110864235,0.077,0.02,1.85E-38,0.029385825,0.507094473,-1.53186211,-0.294911123
SIDT1-AS1,5.54E-41,4.108917749,0.05,0.01,2.03E-36,0.013350439,0.229723742,-1.874504469,-0.638794118
AL136114.1,1.64E-78,4.097035654,0.075,0.012,6.02E-74,0.024527372,0.419105128,-1.610348977,-0.377677025
WFDC2,2.73E-201,4.074907196,0.154,0.021,9.99E-197,0.037986548,0.639535805,-1.420370167,-0.194135136
TLL2,2.94E-21,4.035947242,0.038,0.01,1.08E-16,0.012504048,0.204466176,-1.902949365,-0.689378526
REG4,0,3.998649791,0.634,0.219,0,0.87119783,13.9254737,-0.059883215,1.143809977
RNASE1,0,3.996267417,0.446,0.093,0,0.245333983,3.914548609,-0.61024229,0.59268169
SLC16A7,7.23E-219,3.987186621,0.192,0.03,2.65E-214,0.058533476,0.927600648,-1.232595683,-0.032638956
WNT9A,1.19E-130,3.985868913,0.105,0.015,4.35E-126,0.031228355,0.49412939,-1.505450892,-0.306159314
FER1L6-AS2,8.44E-31,3.971330919,0.031,0.005,3.09E-26,0.008251792,0.128774539,-2.08345175,-0.890169995
C9orf152,4.01E-142,3.96628382,0.155,0.028,1.47E-137,0.032481339,0.507039544,-1.488366075,-0.294958169
STXBP5-AS1,2.23E-125,3.962462454,0.186,0.043,8.15E-121,0.06598373,1.0279669,-1.180563138,0.011979131
MUC4,1.16E-111,3.961489222,0.124,0.023,4.25E-107,0.035448862,0.55158406,-1.450397701,-0.258388293
KCNMA1,0,3.938804202,0.388,0.064,0,0.196584708,3.014065351,-0.706450269,0.479152664
SLC38A3,3.90E-44,3.938603256,0.029,0.003,1.43E-39,0.005084756,0.077305119,-2.293729849,-1.111791747
NTN4,0,3.897101001,0.57,0.183,0,0.372895229,5.554934467,-0.428413173,0.74467894
SYTL2,5.95E-300,3.874778083,0.51,0.159,2.18E-295,0.285407803,4.186206916,-0.544534157,0.621820691
CACNA1F,1.53E-14,3.867383121,0.02,0.004,5.59E-10,0.005365569,0.07763761,-2.270384252,-1.109927843
ST6GALNAC2,2.97E-26,3.850947124,0.026,0.004,1.09E-21,0.005894571,0.084381417,-2.229547771,-1.073753185
GNA14,8.63E-78,3.850613299,0.143,0.038,3.16E-73,0.08311125,1.198300205,-1.080340188,0.078565634
HES6,1.05E-174,3.849296565,0.308,0.087,3.85E-170,0.135595366,1.953658648,-0.867755152,0.290848684
ADRB3,2.85E-52,3.848512312,0.025,0.002,1.04E-47,0.006829561,0.097706313,-2.16560719,-1.010077374
LINC02717,6.87E-23,3.808626134,0.018,0.002,2.51E-18,0.00334377,0.046173972,-2.475763559,-1.335602766
DRP2,1.42E-65,3.807681412,0.033,0.003,5.21E-61,0.00821731,0.114388167,-2.085270333,-0.941618899
DLL1,0,3.794603736,0.305,0.053,0,0.109276236,1.515723226,-0.961474273,0.180619905
C8orf86,1.15E-08,3.788302591,0.013,0.003,0.000419095,0.004304319,0.058787031,-2.366095584,-1.230718474
CBFA2T3,1.33E-102,3.786127174,0.092,0.014,4.87E-98,0.023590379,0.324758217,-1.627265087,-0.488439852
TTC39A-AS1,1.12E-31,3.772070897,0.037,0.007,4.10E-27,0.008675455,0.117836888,-2.061707741,-0.928718734
SRRM4,7.42E-40,3.758079913,0.038,0.006,2.72E-35,0.015994086,0.21571156,-1.796040575,-0.666126579
DOCK8,0,3.732140857,0.357,0.06,0,0.177445688,2.357353079,-0.750934549,0.372424635
SIDT1,2.96E-232,3.731507257,0.281,0.058,1.08E-227,0.11299755,1.500254098,-0.946930975,0.176164822
RAB15,1.52E-77,3.721608597,0.127,0.031,5.56E-73,0.040187007,0.52946161,-1.395914337,-0.276165524
CA8,0,3.711491223,0.427,0.104,0,0.229587574,3.006896523,-0.639051621,0.478118483
KLK1,2.44E-163,3.703179173,0.451,0.194,8.92E-159,0.364264759,4.743748206,-0.438582842,0.676121629
UNC5B-AS1,7.93E-25,3.66546272,0.04,0.009,2.90E-20,0.012548507,0.158524329,-1.901407948,-0.799904078
AC009163.1,1.07E-45,3.648622988,0.066,0.014,3.90E-41,0.024295047,0.303992225,-1.61448226,-0.517137524
RET,6.26E-32,3.64398876,0.042,0.009,2.29E-27,0.015087107,0.18790467,-1.821394016,-0.726062426
SPOCK3,5.85E-35,3.624570651,0.047,0.01,2.14E-30,0.027503024,0.338518852,-1.560619549,-0.470417141
ELOVL2,4.81E-42,3.621507437,0.076,0.019,1.76E-37,0.029284622,0.35972664,-1.533360371,-0.444027399
AC117453.1,8.20E-09,3.612329792,0.013,0.003,0.000300014,0.004947601,0.059802855,-2.305605347,-1.223278083
LZTS1-AS1,7.87E-14,3.609097176,0.016,0.003,2.88E-09,0.006200248,0.074952384,-2.207590943,-1.125214546
GHRH,1.53E-17,3.603359389,0.012,0.002,5.60E-13,0.003332774,0.039800118,-2.477194074,-1.400115638
FRZB,0,3.5979421,0.369,0.048,0,0.184648314,2.235097504,-0.733654654,0.349296474
PLA2G4F,1.99E-07,3.597760714,0.018,0.006,0.007287302,0.005555883,0.066557577,-2.255246878,-1.176802497
CHST11,0,3.57434392,0.295,0.037,0,0.192495047,2.292291405,-0.715580441,0.360269826
RAP1GAP,9.19E-99,3.572637162,0.204,0.06,3.36E-94,0.07936856,0.943610513,-1.1003515,-0.025207229
FAM181B,2.85E-28,3.570615316,0.034,0.007,1.04E-23,0.009018882,0.106445344,-2.044847293,-0.97287333
CHST5,1.41E-94,3.551271177,0.17,0.045,5.14E-90,0.054832288,0.642086945,-1.26096363,-0.19240616
MBOAT2,8.56E-265,3.539059681,0.406,0.107,3.13E-260,0.230162006,2.674735547,-0.637966365,0.427280849
TOX,0,3.523706084,0.684,0.181,0,0.707338898,8.134494325,-0.150372459,0.910330561
ZG16,9.00E-14,3.520529293,0.152,0.097,3.30E-09,0.164695732,1.88930771,-0.783317656,0.276302697
AC069120.1,8.68E-09,3.512276698,0.012,0.003,0.000317612,0.003014947,0.033684761,-2.520720372,-1.472566528
LRRN2,5.36E-15,3.50763869,0.027,0.007,1.96E-10,0.014046519,0.159044392,-1.852431301,-0.798481641
PLA2G10,2.14E-38,3.501706251,0.048,0.01,7.83E-34,0.013175887,0.148526405,-1.880220127,-0.828196332
HECW2,1.42E-168,3.478244686,0.185,0.034,5.19E-164,0.100303435,1.117099036,-0.998684194,0.048091677
STXBP1,2.68E-165,3.47359588,0.211,0.044,9.81E-161,0.095094577,1.055639623,-1.021844247,0.023515683
LINC00589,6.34E-16,3.451468523,0.021,0.005,2.32E-11,0.007468104,0.080973319,-2.126789638,-1.091658057
KCTD16,7.83E-96,3.432425291,0.202,0.06,2.87E-91,0.111674806,1.204915787,-0.952044795,0.080956694
AC106795.3,6.24E-17,3.429469052,0.032,0.008,2.28E-12,0.009881581,0.105737207,-2.005173545,-0.975772165
MT3,1.29E-16,3.425899491,0.031,0.008,4.73E-12,0.009627843,0.102746743,-2.016470998,-0.988231935
HPCAL1,2.92E-275,3.416267699,0.621,0.274,1.07E-270,0.554057092,5.91425655,-0.256445481,0.77190016
AC084816.1,6.52E-14,3.399064947,0.07,0.032,2.39E-09,0.050646419,0.533551231,-1.295451258,-0.272823874
NEURL1,2.72E-212,3.397974101,0.448,0.157,9.96E-208,0.265947726,2.802692277,-0.575203719,0.447575417
MYOM1,5.55E-51,3.373470447,0.172,0.067,2.03E-46,0.098546812,1.020580045,-1.006357423,0.008847072
B3GNT6,1.15E-21,3.36913348,0.015,0.002,4.21E-17,0.002555608,0.02567386,-2.592505845,-1.590508826
ENTPD8,4.77E-56,3.34530929,0.11,0.03,1.75E-51,0.041150885,0.417497701,-1.385620821,-0.379345911
KLHL32,5.45E-68,3.336378575,0.175,0.058,2.00E-63,0.097601247,0.985102102,-1.010544633,-0.006518754
KCNH6,4.43E-34,3.294093761,0.048,0.011,1.62E-29,0.021379169,0.208966807,-1.670009181,-0.679922692
FHL2,0,3.289677033,0.342,0.065,0,0.199716036,1.952269601,-0.699587063,0.290539792
PSTPIP1,2.36E-25,3.261201042,0.027,0.005,8.65E-21,0.00881756,0.083798263,-2.054651598,-1.076764984
SYP,6.78E-131,3.256750613,0.173,0.037,2.48E-126,0.077728729,0.742209516,-1.109418433,-0.129473482
EPN3,4.75E-12,3.254777457,0.024,0.007,1.74E-07,0.007075791,0.066796524,-2.150225005,-1.175246134
AP003059.2,1.64E-07,3.247936274,0.018,0.006,0.005985233,0.006502072,0.061026011,-2.186948203,-1.214485013
KRT7,1.13E-39,3.246791133,0.047,0.009,4.12E-35,0.013267633,0.125199118,-1.877206537,-0.902398732
PTPRN2,3.16E-225,3.232204146,0.404,0.12,1.16E-220,0.321757963,3.022822239,-0.492470696,0.480412609
FFAR2,1.62E-20,3.225595979,0.021,0.004,5.94E-16,0.0078321,0.072515984,-2.106121753,-1.139566254
MYRIP,3.14E-97,3.217589158,0.268,0.098,1.15E-92,0.17469639,1.624333278,-0.75771607,0.210675142
TPM1-AS,1.62E-11,3.189635645,0.018,0.005,5.95E-07,0.007272691,0.065605226,-2.138304894,-1.183061561
AGBL1,1.88E-16,3.186876734,0.031,0.008,6.89E-12,0.01560823,0.14138475,-1.806646342,-0.84959743
FOXA2,6.85E-68,3.166784653,0.127,0.034,2.51E-63,0.042023772,0.376640158,-1.376504969,-0.424073377
LINC01237,3.89E-48,3.147295679,0.093,0.025,1.42E-43,0.041775442,0.36937446,-1.37907895,-0.432533137
BCO1,3.12E-19,3.14002899,0.034,0.009,1.14E-14,0.012667839,0.110918537,-1.897297476,-0.954995868
KLHL29,9.32E-166,3.137422761,0.202,0.04,3.41E-161,0.147686327,1.298812946,-0.830659709,0.113546609
SP5,6.43E-43,3.121518374,0.04,0.006,2.35E-38,0.010154386,0.087618613,-1.993346329,-1.057403624
ST8SIA2,2.86E-22,3.117671704,0.027,0.005,1.05E-17,0.013900955,0.119902662,-1.856955352,-0.921171176
MAPK4,1.22E-08,3.108347196,0.041,0.019,0.000448278,0.025118105,0.21586057,-1.600013123,-0.665826681
GALNT10,6.78E-74,3.076379328,0.169,0.052,2.48E-69,0.097001314,0.817441972,-1.013222385,-0.087543067
GSN,1.05E-198,3.075633666,0.489,0.193,3.83E-194,0.431439385,3.63652952,-0.365080212,0.560687117
SYTL4,4.37E-20,3.07442152,0.053,0.017,1.60E-15,0.029393823,0.246839848,-1.531743927,-0.607584729
ROBO2,2.28E-278,3.061761464,0.621,0.254,8.34E-274,0.969570111,8.09506739,-0.013420781,0.908220469
LINC01811,3.94E-103,3.044889196,0.126,0.024,1.44E-98,0.089339138,0.736539128,-1.04895824,-0.132804177
NPW,2.74E-161,3.040161053,0.231,0.053,1.00E-156,0.197233061,1.621643286,-0.705020285,0.209955328
HS3ST5,3.57E-30,3.035621049,0.083,0.028,1.31E-25,0.063713206,0.521684775,-1.195770538,-0.282591838
CFAP65,1.54E-39,3.029559127,0.077,0.021,5.64E-35,0.029991089,0.244132302,-1.523007771,-0.612374754
TMOD1,1.35E-31,3.012894501,0.034,0.006,4.93E-27,0.016615993,0.133357052,-1.779473698,-0.874984013
RAB27A,1.16E-98,3.010240144,0.264,0.095,4.25E-94,0.14673,1.181436964,-0.833481081,0.072410555
KIAA1324,7.21E-146,3.008084562,0.314,0.099,2.64E-141,0.21485866,1.727763822,-0.667847137,0.237484376
HID1,1.90E-45,3.000823643,0.214,0.101,6.96E-41,0.116228879,0.929596777,-0.934685951,-0.031705391
IL1R2,3.81E-26,2.996813947,0.034,0.007,1.40E-21,0.013844449,0.1097457,-1.85872433,-0.959612488
AC002069.2,2.04E-18,2.993975539,0.047,0.015,7.48E-14,0.028384069,0.225360524,-1.54692534,-0.647122157
SLC9C1,7.97E-12,2.985956198,0.057,0.026,2.92E-07,0.036404977,0.287652103,-1.438839238,-0.541132446
ST6GALNAC5,3.29E-174,2.983702427,0.176,0.03,1.20E-169,0.134852329,1.065933619,-0.870141548,0.02773016
AP003555.2,3.90E-18,2.961886502,0.054,0.019,1.43E-13,0.028038887,0.217694501,-1.552239235,-0.662152542
DLL3,1.70E-25,2.951982717,0.037,0.008,6.24E-21,0.017586501,0.135317385,-1.75482057,-0.868646403
NKX2-2,2.69E-57,2.941596945,0.07,0.014,9.83E-53,0.032424102,0.248331987,-1.489132042,-0.604967336
AC002072.1,1.44E-08,2.927550647,0.027,0.01,0.00052883,0.014295663,0.107993047,-1.844795711,-0.966604206
PFKFB4,1.73E-32,2.925707284,0.16,0.074,6.33E-28,0.109137432,0.82850553,-0.962026271,-0.081704588
GALNT5,2.97E-81,2.923425969,0.281,0.118,1.09E-76,0.184631438,1.399926982,-0.733694348,0.146105384
KCNK2,9.81E-21,2.923227912,0.019,0.003,3.59E-16,0.013249066,0.099728458,-1.877814722,-1.001180895
TACSTD2,1.06E-15,2.901240542,0.055,0.021,3.88E-11,0.037735324,0.281135902,-1.423251913,-0.55108369
ZNF804A,7.53E-158,2.89353072,0.211,0.045,2.76E-153,0.214617304,1.594019448,-0.668335264,0.202493616
DSC3,5.91E-10,2.88191803,0.014,0.003,2.16E-05,0.005898833,0.042707806,-2.229233891,-1.369492735
MISP3,3.87E-14,2.870771255,0.055,0.022,1.42E-09,0.020940751,0.152397363,-1.679007746,-0.817022546
SYTL5,5.28E-07,2.866407895,0.035,0.016,0.019330186,0.019745234,0.143216212,-1.704537718,-0.844007817
SCIN,1.54E-14,2.860977531,0.036,0.011,5.63E-10,0.019004229,0.1372914,-1.721149736,-0.862356666
DUSP4,6.80E-10,2.853536473,0.054,0.026,2.49E-05,0.03888576,0.280278308,-1.410209413,-0.552410512
ZNF215,9.94E-20,2.842560652,0.068,0.025,3.64E-15,0.031837477,0.227590647,-1.497061361,-0.642845589
SYT7,3.66E-22,2.822286307,0.063,0.021,1.34E-17,0.032048606,0.22589568,-1.494190854,-0.646092075
NLRC5,2.74E-29,2.801692415,0.044,0.01,1.00E-24,0.02481999,0.172279463,-1.605198398,-0.763766492
NEUROG3,4.71E-24,2.778311972,0.033,0.007,1.72E-19,0.030375094,0.207606607,-1.51748237,-0.68275883
AC022182.1,9.42E-14,2.778220295,0.061,0.026,3.45E-09,0.040056122,0.274005749,-1.397331101,-0.562240325
SLCO2A1,1.19E-16,2.776480613,0.064,0.026,4.37E-12,0.047569572,0.325155049,-1.322670757,-0.487909498
ARHGEF33,4.57E-09,2.762812783,0.018,0.005,0.000167102,0.009170813,0.061461468,-2.037592171,-1.211397074
DLL4,1.65E-47,2.747721827,0.098,0.027,6.04E-43,0.065037607,0.436045266,-1.186835447,-0.360468424
UGT2B7,3.92E-22,2.746296902,0.119,0.056,1.43E-17,0.082556367,0.553163522,-1.083249428,-0.257146467
NFASC,3.07E-34,2.739137267,0.052,0.012,1.12E-29,0.035094621,0.233532514,-1.454759438,-0.631652646
SH3BGRL3,3.48E-102,2.736132462,0.552,0.4,1.27E-97,1.188695503,7.919277385,0.07507062,0.898685555
AL133325.3,2.89E-08,2.729923466,0.014,0.004,0.001057088,0.006181044,0.04022163,-2.208938157,-1.395540337
TNNC2,1.07E-11,2.729202937,0.069,0.033,3.91E-07,0.0379653,0.250959071,-1.420613168,-0.600397103
PITPNM2,9.72E-20,2.725319246,0.117,0.058,3.56E-15,0.087624635,0.578682494,-1.057373777,-0.237559655
QSOX1,3.66E-105,2.722259545,0.239,0.075,1.34E-100,0.159153595,1.049478226,-0.798183546,0.020973432
ASIC4,1.77E-07,2.719489984,0.017,0.005,0.006463156,0.008200608,0.053227122,-2.086153936,-1.273867014
CRACR2B,2.89E-40,2.719434817,0.192,0.089,1.06E-35,0.114418436,0.752791334,-0.941503991,-0.123325389
ST6GALNAC1,1.80E-104,2.715369554,0.438,0.237,6.58E-100,0.379380713,2.490840831,-0.420924752,0.396345976
LRRC20,3.90E-23,2.710759954,0.074,0.027,1.43E-18,0.036014537,0.234989157,-1.443522159,-0.628952177
ADARB2,3.58E-19,2.695727104,0.105,0.05,1.31E-14,0.097303907,0.629625882,-1.011869719,-0.200917427
CREB3L1,1.03E-87,2.6922023,0.295,0.121,3.76E-83,0.212004007,1.369393186,-0.67365593,0.136528162
ENO3,1.70E-13,2.679454453,0.069,0.032,6.21E-09,0.03864612,0.246784391,-1.412894102,-0.607682313
KLK11,6.14E-24,2.668557809,0.024,0.004,2.25E-19,0.010053864,0.063133199,-1.997666974,-1.199742203
WASF3,1.42E-13,2.660401457,0.094,0.049,5.20E-09,0.073236757,0.462220229,-1.135270892,-0.335151051
CBFA2T2,3.46E-149,2.651852755,0.568,0.321,1.26E-144,0.764939697,4.806656451,-0.116372801,0.681843083
BTBD17,2.35E-07,2.602954137,0.017,0.005,0.008584667,0.014922154,0.089863862,-1.826168487,-1.046414922
OSBPL7,4.01E-09,2.595977215,0.064,0.034,0.000146771,0.041949413,0.252832467,-1.377274116,-0.597167158
GPR153,9.89E-26,2.594341921,0.091,0.034,3.62E-21,0.06036423,0.363754615,-1.219220337,-0.439191488
AC005358.1,2.60E-15,2.592064874,0.021,0.005,9.51E-11,0.017570592,0.10515058,-1.755213601,-0.978188327
ATP2A3,3.04E-62,2.588176913,0.181,0.064,1.11E-57,0.123203195,0.740074548,-0.909378031,-0.130724532
LRRC31,2.77E-14,2.580014961,0.073,0.033,1.01E-09,0.050313779,0.300055216,-1.298313062,-0.522798819
CACNG7,6.88E-12,2.557853601,0.014,0.003,2.52E-07,0.007947165,0.046000115,-2.099787772,-1.337241083
GMDS,0,2.555689576,0.822,0.517,0,2.333021343,13.71616657,0.367918712,1.13723275
SBF2-AS1,1.71E-09,2.554269703,0.088,0.051,6.26E-05,0.070853489,0.415376713,-1.149638757,-0.381557854
ANO1,8.10E-25,2.551772524,0.073,0.025,2.97E-20,0.051569311,0.301583237,-1.28760867,-0.520592801
DYRK4,2.15E-35,2.536900356,0.255,0.15,7.87E-31,0.195841763,1.135753192,-0.70809469,0.055283966
AC055854.1,2.21E-07,2.524760798,0.011,0.003,0.008094949,0.005613525,0.031507453,-2.250764345,-1.5015867
PKP4-AS1,9.56E-09,2.504868997,0.016,0.004,0.000349798,0.009387509,0.052485031,-2.027449619,-1.279964543
RASD1,8.39E-60,2.490304296,0.136,0.041,3.07E-55,0.09196635,0.515956584,-1.036371051,-0.287386841
VWA5B2,6.91E-20,2.490152119,0.047,0.014,2.53E-15,0.032142752,0.17979085,-1.492916948,-0.745232415
