Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,log(Epithelialcells),log(Gobletcells)
LTA4H,5.55E-34,-0.764283382,0.18,0.375,2.03E-29,0.894810338,0.525945386,-0.048269007,-0.279059351
TMEM200A,1.31E-21,-0.764285589,0.042,0.144,4.80E-17,0.215414995,0.125954078,-0.66672407,-0.899787766
H2AFX,2.42E-20,-0.764463666,0.076,0.189,8.84E-16,0.431815799,0.253327555,-0.364701472,-0.596317568
ETV4,1.03E-15,-0.764587296,0.042,0.123,3.77E-11,0.176104282,0.102788417,-0.754230084,-0.988055822
IQCA1,3.81E-18,-0.764811757,0.035,0.122,1.40E-13,0.153859495,0.089680562,-0.812875697,-1.047301681
CENPH,1.91E-12,-0.765056817,0.036,0.101,6.99E-08,0.140319975,0.081698118,-0.852880502,-1.08778795
LINC01605,9.58E-14,-0.765524497,0.032,0.099,3.51E-09,0.139423298,0.081143892,-0.855664649,-1.090744164
CAMK1,2.90E-17,-0.76603431,0.037,0.121,1.06E-12,0.161020432,0.093814711,-0.793119013,-1.027729056
PDLIM7,1.78E-09,-0.766658691,0.032,0.082,6.53E-05,0.24611152,0.143788339,-0.608868057,-0.842276333
PSTK,9.89E-11,-0.766903912,0.017,0.065,3.62E-06,0.070063376,0.040304253,-1.154508941,-1.394649125
GDAP1,3.56E-08,-0.767047225,0.027,0.07,0.001303939,0.106685031,0.06181974,-0.971896514,-1.208872829
CHAMP1,9.58E-11,-0.767492365,0.032,0.088,3.51E-06,0.096783778,0.055984029,-1.014197429,-1.251935853
C4orf33,2.14E-10,-0.767605141,0.029,0.082,7.82E-06,0.09384963,0.054256089,-1.027567437,-1.265551513
TM2D2,1.15E-21,-0.76799271,0.069,0.185,4.22E-17,0.24103113,0.140671254,-0.617926863,-0.851794641
FAM83D,6.44E-09,-0.768630771,0.016,0.056,0.000235727,0.084170191,0.048535326,-1.074841685,-1.313942052
LINC00501,2.04E-07,-0.769246889,0.013,0.046,0.007461748,0.053521844,0.030532117,-1.27146893,-1.515243088
RGMB,3.08E-12,-0.769935139,0.05,0.12,1.13E-07,0.224117471,0.13056189,-0.649524287,-0.884183573
LINC01504,2.39E-07,-0.772259123,0.029,0.068,0.008740675,0.10709734,0.06183505,-0.970221314,-1.208765282
SP2,6.68E-09,-0.772409024,0.025,0.069,0.000244329,0.080148212,0.046051462,-1.096106159,-1.336756582
IQGAP2,2.95E-21,-0.772776636,0.088,0.208,1.08E-16,0.4383145,0.255670626,-0.358214162,-0.592319165
