"","rownames.merged.gut...RNA....counts."
"303","AADACL4"
"304","AADACL3"
"305","C1orf158"
"306","PRAMEF12"
"307","PRAMEF1"
"308","LINC01784"
"309","PRAMEF11"
"310","HNRNPCL1"
"311","PRAMEF2"
"312","PRAMEF4"
"313","PRAMEF10"
"314","PRAMEF7"
"315","PRAMEF6"
"316","PRAMEF27"
"317","HNRNPCL3"
"318","PRAMEF25"
"319","HNRNPCL2"
"320","AC245056.1"
"321","PRAMEF26"
"322","HNRNPCL4"
"323","PRAMEF9"
"324","PRAMEF13"
"325","PRAMEF18"
"326","PRAMEF5"
"327","PRAMEF8"
"328","PRAMEF33"
"329","PRAMEF15"
"330","AC243961.1"
"331","PRAMEF14"
"332","PRAMEF19"
"333","PRAMEF17"
"334","PRAMEF20"
"335","LRRC38"
"336","AL354712.1"
"337","PDPN"
"338","AL359771.1"
"339","PRDM2"
"340","KAZN"
"341","AL357873.1"
"342","KAZN-AS1"
"343","AL031293.1"
"344","TMEM51-AS1"
"345","TMEM51"
"346","C1orf195"
"347","FHAD1"
"348","AL031283.2"
"349","AL031283.3"
"350","AL031283.1"
"351","EFHD2"
"352","CTRC"
"353","CELA2A"
"354","CELA2B"
"355","CASP9"
"356","DNAJC16"
"357","AL121992.3"
"358","AGMAT"
"359","AL121992.1"
"360","DDI2"
"361","RSC1A1"
"362","AL121992.2"
"363","PLEKHM2"
"364","AL450998.3"
"365","SLC25A34"
"366","SLC25A34-AS1"
"367","TMEM82"
"368","FBLIM1"
"369","UQCRHL"
"370","AL450998.2"
"371","SPEN"
"372","ZBTB17"
"373","SRARP"
"374","AL355994.3"
"375","HSPB7"
"376","CLCNKA"
"377","CLCNKB"
"378","FAM131C"
"379","EPHA2"
"380","AL451042.2"
"381","AL451042.1"
"382","ARHGEF19-AS1"
"383","ARHGEF19"
"384","AL109627.1"
"385","CPLANE2"
"386","FBXO42"
"387","SZRD1"
"388","SPATA21"
"389","NECAP2"
"390","LINC01772"
"391","AL137802.2"
"392","AL137802.1"
"393","LINC01783"
"394","NBPF1"
"395","AL137798.1"
"396","AL137798.2"
"397","AL021920.1"
"398","AL021920.3"
"399","CROCC"
"400","BX284668.1"
"401","BX284668.2"
"402","BX284668.5"
"403","BX284668.6"
"404","MFAP2"
"405","AL049569.2"
"406","AL049569.1"
"407","ATP13A2"
"408","SDHB"
"409","PADI2"
"410","LINC02783"
"411","AL590644.1"
"412","PADI1"
"413","PADI3"
"414","PADI4"
"415","PADI6"
"416","RCC2-AS1"
"417","RCC2"
"418","ARHGEF10L"
"419","LINC02810"
"420","ACTL8"
"421","AL357509.1"
"422","LINC01654"
"423","IGSF21"
"424","IGSF21-AS1"
"425","AL591896.1"
"426","KLHDC7A"
"427","PAX7"
"428","TAS1R2"
"429","ALDH4A1"
"430","IFFO2"
"431","AL137127.1"
"432","UBR4"
"433","EMC1-AS1"
"434","EMC1"
"435","MRTO4"
"436","AKR7A3"
"437","AKR7A2"
"438","SLC66A1"
"439","CAPZB"
"440","MICOS10"
"441","AL031727.2"
"442","NBL1"
"443","HTR6"
"444","TMCO4"
"445","RNF186"
"446","AL391883.1"
"447","OTUD3"
"448","PLA2G2E"
"449","PLA2G2A"
"450","PLA2G5"
"451","PLA2G2D"
"452","PLA2G2F"
"453","Z98257.1"
"454","PLA2G2C"
"455","UBXN10-AS1"
"456","UBXN10"
"457","LINC01757"
"458","Z98257.2"
"459","VWA5B1"
"460","AL020998.1"
"461","LINC01141"
"462","AL139254.1"
"463","AL139254.2"
"464","AL139254.3"
"465","CAMK2N1"
"466","MUL1"
"467","FAM43B"
"468","CDA"
"469","PINK1"
"470","PINK1-AS"
"471","DDOST"
"472","KIF17"
"473","SH2D5"
"474","AL663074.1"
"475","HP1BP3"
"476","EIF4G3"
"477","AL031005.2"
"478","ECE1"
"479","AL031005.1"
"480","AL031728.1"
"481","AL592309.2"
"482","NBPF3"
"483","ALPL"
"484","LINC02596"
"485","RAP1GAP"
"486","USP48"
"487","LDLRAD2"
"488","HSPG2"
"489","CELA3B"
"490","CELA3A"
"491","LINC01635"
"492","LINC00339"
"493","CDC42"
"494","CDC42-AS1"
"495","CDC42-IT1"
"496","WNT4"
"497","AL445253.1"
"498","ZBTB40"
"499","ZBTB40-IT1"
"500","EPHA8"
"501","C1QA"
"502","C1QC"
"503","C1QB"
"504","EPHB2"
"505","AL512444.1"
"506","LACTBL1"
"507","TEX46"
"508","KDM1A"
"509","AL031428.1"
"510","LUZP1"
"511","HTR1D"
"512","LINC01355"
"513","AL109936.6"
"514","HNRNPR"
"515","ZNF436"
"516","ZNF436-AS1"
"517","AL109936.2"
"518","TCEA3"
"519","ASAP3"
"520","E2F2"
"521","AL021154.1"
"522","ID3"
"523","AL450043.1"
"524","MDS2"
"525","RPL11"
"526","ELOA-AS1"
"527","ELOA"
"528","PITHD1"
"529","LYPLA2"
"530","GALE"
"531","HMGCL"
"532","FUCA1"
"533","CNR2"
"534","AL590609.3"
"535","PNRC2"
"536","SRSF10"
"537","AL591178.1"
"538","MYOM3"
"539","AL591178.2"
"540","IL22RA1"
"541","IFNLR1"
"542","LINC02800"
"543","AL138902.1"
"544","GRHL3"
"545","STPG1"
"546","NIPAL3"
"547","RCAN3AS"
"548","RCAN3"
"549","NCMAP-DT"
"550","NCMAP"
"551","SRRM1"
"552","AL445648.1"
"553","CLIC4"
"554","RUNX3"
"555","AL445471.1"
"556","AL445471.2"
"557","LINC02793"
"558","AL050344.1"
"559","AL031432.1"
"560","SYF2"
"561","AL031432.4"
"562","AL031432.5"
"563","RSRP1"
"564","AL031432.3"
"565","RHD"
"566","TMEM50A"
"567","RHCE"
"568","MACO1"
"569","LDLRAP1"
"570","AL606491.1"
"571","MAN1C1"
"572","AL031280.1"
"573","SELENON"
"574","AL020996.1"
"575","MTFR1L"
"576","AL020996.3"
"577","AUNIP"
"578","AL033528.2"
"579","PAQR7"
"580","STMN1"
"581","PAFAH2"
"582","EXTL1"
"583","SLC30A2"
"584","AL391650.2"
"585","TRIM63"
"586","PDIK1L"
"587","FAM110D"
"588","C1orf232"
"589","AL391650.1"
"590","ZNF593"
"591","CNKSR1"
"592","CATSPER4"
"593","CEP85"
"594","SH3BGRL3"
"595","UBXN11"
"596","CD52"
"597","CRYBG2"
"598","ZNF683"
"599","LIN28A"
"600","DHDDS"
"601","AL513365.2"
"602","HMGN2"
"603","RPS6KA1"
"604","AL512408.1"
"605","ARID1A"
"606","PIGV"
"607","ZDHHC18"
"608","SFN"
"609","GPN2"
"610","AL034380.1"
"611","GPATCH3"
"612","NUDC"
"613","NR0B2"
"614","KDF1"
