"","rownames.merged.gut...RNA....counts."
"9046","AC105343.2"
"9047","DCLK2"
"9048","LRBA"
"9049","AC110813.1"
"9050","MAB21L2"
"9051","RPS3A"
"9052","SH3D19"
"9053","AC095055.1"
"9054","PRSS48"
"9055","AC104819.3"
"9056","FAM160A1-DT"
"9057","FAM160A1"
"9058","GATB"
"9059","AC092611.1"
"9060","AC107074.1"
"9061","AC112242.2"
"9062","AC112242.1"
"9063","AC097375.2"
"9064","AC097375.1"
"9065","AC097375.4"
"9066","AC097375.3"
"9067","AC097375.5"
"9068","LINC02273"
"9069","AC079340.3"
"9070","AC079340.1"
"9071","AC079340.2"
"9072","AC080078.1"
"9073","AC080078.2"
"9074","FBXW7"
"9075","FBXW7-AS1"
"9076","AC023424.3"
"9077","MIR4453HG"
"9078","TMEM154"
"9079","AC106882.1"
"9080","TIGD4"
"9081","ARFIP1"
"9082","AC093599.2"
"9083","FHDC1"
"9084","AC093599.1"
"9085","TRIM2"
"9086","MND1"
"9087","TMEM131L"
"9088","AC106865.2"
"9089","TLR2"
"9090","RNF175"
"9091","AC020703.1"
"9092","SFRP2"
"9093","AC079298.3"
"9094","DCHS2"
"9095","AC079298.1"
"9096","AC079298.2"
"9097","PLRG1"
"9098","FGB"
"9099","FGA"
"9100","FGG"
"9101","LRAT"
"9102","AC009567.1"
"9103","RBM46"
"9104","AC097467.3"
"9105","AC104407.1"
"9106","NPY2R"
"9107","AC097467.1"
"9108","MAP9"
"9109","AC097526.1"
"9110","AC107208.1"
"9111","GUCY1A1"
"9112","AC104083.1"
"9113","GUCY1B1"
"9114","ASIC5"
"9115","TDO2"
"9116","CTSO"
"9117","AC096736.3"
"9118","LINC02272"
"9119","AC096736.2"
"9120","AC096736.1"
"9121","PDGFC"
"9122","AC092608.1"
"9123","GLRB"
"9124","GRIA2"
"9125","AC093817.2"
"9126","LINC02433"
"9127","AC093817.1"
"9128","AC017037.5"
"9129","AC084740.1"
"9130","GASK1B"
"9131","FAM198B-AS1"
"9132","AC098679.6"
"9133","AC098679.1"
"9134","TMEM144"
"9135","AC098679.5"
"9136","RXFP1"
"9137","AC121161.2"
"9138","C4orf46"
"9139","ETFDH"
"9140","PPID"
"9141","FNIP2"
"9142","C4orf45"
"9143","RAPGEF2"
"9144","AC074344.2"
"9145","LINC02233"
"9146","LINC02477"
"9147","AC104793.1"
"9148","FSTL5"
"9149","AC023136.1"
"9150","AC021134.1"
"9151","AC021134.2"
"9152","AC022272.1"
"9153","NAF1"
"9154","NPY1R"
"9155","NPY5R"
"9156","TKTL2"
"9157","TMA16"
"9158","MARCH1"
"9159","AC093788.1"
"9160","SMIM31"
"9161","APELA"
"9162","AC106872.12"
"9163","TRIM61"
"9164","FAM218A"
"9165","AC106872.9"
"9166","TRIM60"
"9167","TRIM75P"
"9168","TMEM192"
"9169","KLHL2"
"9170","GK3P"
"9171","MSMO1"
"9172","CPE"
"9173","AC080079.2"
"9174","LINC01179"
"9175","TLL1"
"9176","AC097487.1"
"9177","SPOCK3"
"9178","AC079349.1"
"9179","AC116634.1"
"9180","ANXA10"
"9181","AC068989.1"
"9182","DDX60"
"9183","DDX60L"
"9184","PALLD"
"9185","AC079858.1"
"9186","AC080188.1"
"9187","CBR4"
"9188","AC021151.1"
"9189","SH3RF1"
"9190","AC096741.1"
"9191","NEK1"
"9192","AC084724.1"
"9193","CLCN3"
"9194","HPF1"
"9195","AC079768.3"
"9196","AC079768.4"
"9197","LINC02275"
"9198","AC079768.2"
"9199","AC084866.2"
"9200","AC084866.1"
"9201","MFAP3L"
"9202","AADAT"
"9203","LINC01612"
"9204","LINC02512"
"9205","LINC02382"
"9206","AC034159.2"
"9207","LINC02431"
"9208","LINC02504"
"9209","AC074254.2"
"9210","LINC02174"
"9211","AC074254.1"
"9212","GALNTL6"
"9213","AC105285.1"
"9214","GALNT7"
"9215","AC097534.1"
"9216","HMGB2"
"9217","AC097534.2"
"9218","SAP30"
"9219","SCRG1"
"9220","AC093849.4"
"9221","AC093849.3"
"9222","AC093849.1"
"9223","AC093849.2"
"9224","HAND2"
"9225","HAND2-AS1"
"9226","LINC02269"
"9227","AC106895.1"
"9228","AC106895.2"
"9229","LINC02268"
"9230","AC012055.1"
"9231","AC012055.2"
"9232","FBXO8"
"9233","CEP44"
"9234","AC116616.1"
"9235","HPGD"
"9236","AC096751.2"
"9237","GLRA3"
"9238","ADAM29"
"9239","AC105914.2"
"9240","AC022325.2"
"9241","AC095050.1"
"9242","AC131094.1"
"9243","GPM6A"
"9244","AC097537.1"
"9245","WDR17"
"9246","SPATA4"
"9247","ASB5"
"9248","AC019163.1"
"9249","SPCS3"
"9250","AC093801.1"
"9251","VEGFC"
"9252","AC097518.2"
"9253","AC092673.1"
"9254","LINC02509"
"9255","AC097518.1"
"9256","NEIL3"
"9257","AC027627.1"
"9258","AGA"
"9259","AC078881.1"
"9260","AC103879.1"
"9261","LINC01098"
"9262","LINC01099"
"9263","AC020551.1"
"9264","AC108169.1"
"9265","AC096747.1"
"9266","AC104803.1"
"9267","LINC00290"
"9268","LINC02500"
"9269","AC093840.2"
"9270","AC084741.1"
"9271","TEMN3-AS1"
"9272","TENM3-AS1"
"9273","TENM3"
"9274","AC108142.1"
"9275","AC079226.2"
"9276","AC079226.1"
"9277","AC114798.1"
"9278","AC079766.1"
"9279","DCTD"
"9280","AC019193.4"
"9281","AC019193.3"
"9282","AC019193.2"
"9283","WWC2-AS2"
"9284","WWC2"
"9285","WWC2-AS1"
"9286","CLDN22"
"9287","CLDN24"
"9288","CDKN2AIP"
"9289","AC107214.1"
"9290","ING2"
"9291","AC107214.2"
"9292","RWDD4"
"9293","TRAPPC11"
"9294","AC108477.2"
"9295","AC108477.1"
"9296","STOX2"
"9297","AC074194.1"
"9298","ENPP6"
"9299","AC107222.2"
"9300","LINC02363"
"9301","LINC02362"
"9302","IRF2"
"9303","AC099343.2"
"9304","AC099343.3"
"9305","AC099343.4"
"9306","LINC02427"
"9307","LINC02365"
"9308","CASP3"
"9309","PRIMPOL"
"9310","CENPU"
"9311","ACSL1"
"9312","AC084871.1"
"9313","AC084871.3"
"9314","MIR3945HG"
"9315","LINC01093"
"9316","LINC02437"
"9317","HELT"
"9318","LINC02436"
"9319","AC093824.2"
"9320","SLC25A4"
"9321","CFAP97"
"9322","SNX25"
"9323","LRP2BP"
"9324","AC112722.1"
"9325","ANKRD37"
"9326","UFSP2"
"9327","C4orf47"
"9328","CCDC110"
"9329","AC106897.1"
"9330","PDLIM3"
"9331","SORBS2"
"9332","AC093797.1"
"9333","AC108472.1"
"9334","AC096659.1"
"9335","TLR3"
"9336","FAM149A"
"9337","CYP4V2"
"9338","KLKB1"
"9339","F11"
"9340","F11-AS1"
"9341","AC109517.1"
"9342","MTNR1A"
"9343","FAT1"
"9344","AC107050.1"
"9345","AC108865.1"
"9346","AC108865.2"
"9347","AC110772.1"
"9348","AC110772.2"
"9349","AC108046.1"
"9350","LINC02374"
"9351","AC097652.1"
"9352","LINC02514"
"9353","LINC02515"
"9354","AC093763.1"
"9355","LINC02492"
"9356","AC097521.1"
"9357","AC108073.3"
"9358","ZFP42"
"9359","TRIML2"
"9360","TRIML1"
"9361","AC138781.1"
"9362","LINC02434"
"9363","LINC01060"
"9364","AC093909.2"
"9365","LINC02508"
"9366","AC093909.4"
"9367","AC122138.1"
"9368","AC107391.1"
"9369","AC105924.1"
"9370","LINC01262"
"9371","AF250324.1"
"9372","FRG1-DT"
"9373","LINC01596"
"9374","FRG1"
"9375","FRG2"
"9376","DBET"
"9377","DUX4"
"9378","PLEKHG4B"
"9379","LRRC14B"
"9380","AC021087.4"
"9381","CCDC127"
"9382","SDHA"
"9383","AC021087.1"
"9384","PDCD6"
"9385","AHRR"
"9386","EXOC3-AS1"
"9387","EXOC3"
"9388","AC010442.1"
"9389","SLC9A3"
"9390","SLC9A3-AS1"
"9391","AC106772.2"
"9392","AC106772.1"
"9393","CEP72"
"9394","TPPP"
"9395","AC026740.1"
"9396","ZDHHC11B"
"9397","AC026740.3"
"9398","ZDHHC11"
"9399","BRD9"
"9400","TRIP13"
"9401","AC122719.3"
"9402","AC122719.1"
"9403","AC122719.2"
"9404","AC116351.1"
"9405","AC116351.2"
"9406","NKD2"
"9407","SLC12A7"
"9408","AC114291.1"
"9409","SLC6A19"
"9410","SLC6A18"
"9411","AC114291.2"
"9412","TERT"
"9413","CLPTM1L"
"9414","AC026748.3"
"9415","LINC01511"
"9416","SLC6A3"
"9417","LPCAT1"
"9418","AC091849.2"
"9419","AC026412.3"
"9420","AC112176.1"
"9421","MRPL36"
"9422","NDUFS6"
"9423","AC025183.3"
"9424","LINC02116"
"9425","IRX4"
"9426","AC025183.1"
"9427","AC025183.2"
"9428","AC126768.3"
"9429","AC124852.1"
"9430","AC126768.1"
"9431","AC126768.2"
"9432","LSINCT5"
"9433","AC091891.1"
"9434","IRX2"
"9435","C5orf38"
"9436","AC094105.1"
"9437","AC094105.2"
"9438","AC091832.1"
"9439","LINC01019"
"9440","LINC02162"
"9441","LINC01017"
"9442","IRX1"
"9443","AC016595.1"
"9444","AC025773.1"
"9445","AC025187.1"
"9446","LINC02063"
"9447","AC106799.3"
"9448","AC106799.2"
"9449","AC106799.1"
"9450","AC010634.1"
"9451","LINC02114"
"9452","AC026719.1"
"9453","AC026415.1"
"9454","AC010451.3"
"9455","AC010451.1"
"9456","LINC01020"
"9457","AC010451.2"
"9458","LINC02121"
"9459","AC022424.1"
"9460","ADAMTS16"
"9461","AC022424.2"
"9462","AC091978.1"
"9463","ICE1"
"9464","AC026736.1"
"9465","AC010266.2"
"9466","AC010266.1"
"9467","LINC02145"
"9468","MED10"
"9469","AC093307.1"
"9470","UBE2QL1"
"9471","LINC01018"
"9472","NSUN2"
"9473","SRD5A1"
"9474","LINC02102"
"9475","TENT4A"
"9476","LINC02236"
"9477","AC122710.2"
"9478","LINC02196"
"9479","AC122710.1"
"9480","AC025756.1"
"9481","AC091889.1"
"9482","AC091951.4"
"9483","AC027343.3"
"9484","LINC02123"
"9485","AC027343.1"
"9486","AC027343.2"
"9487","LINC02142"
"9488","ADCY2"
"9489","AC093305.1"
"9490","C5orf49"
"9491","MTRR"
"9492","FASTKD3"
"9493","AC025174.1"
"9494","AC116361.1"
"9495","AC091912.3"
"9496","LINC02226"
"9497","AC091965.1"
"9498","AC091965.4"
"9499","MIR4458HG"
"9500","AC091953.1"
"9501","AC091932.1"
"9502","LINC02199"
"9503","AC021088.1"
"9504","SEMA5A"
"9505","AC091906.1"
"9506","SEMA5A-AS1"
"9507","AC027335.1"
"9508","SNHG18"
"9509","AC026787.1"
"9510","TAS2R1"
"9511","LINC02112"
"9512","AC091838.1"
"9513","LINC02221"
"9514","AC034229.1"
"9515","AC034229.2"
"9516","AC034229.3"
"9517","AC034229.4"
"9518","ATPSCKMT"
"9519","AC012640.1"
"9520","CCT5"
"9521","AC012640.4"
"9522","AC012640.3"
"9523","CMBL"
"9524","AC012640.2"
"9525","MARCH6"
"9526","ROPN1L-AS1"
"9527","ROPN1L"
"9528","LINC01513"
"9529","AC092336.1"
"9530","LINC02212"
"9531","LINC02213"
"9532","ANKRD33B"
"9533","ANKRD33B-AS1"
"9534","DAP"
"9535","AC012629.2"
"9536","AC012629.1"
"9537","CTNND2"
"9538","AC106771.1"
"9539","LINC01194"
"9540","LINC02220"
"9541","AC016553.1"
"9542","DNAH5"
"9543","AC016576.1"
"9544","TRIO"
"9545","AC016549.1"
"9546","OTULINL"
"9547","AC010491.1"
"9548","OTULIN"
"9549","ANKH"
"9550","AC010491.2"
"9551","AC016575.1"
"9552","AC016575.2"
"9553","LINC02149"
"9554","AC114964.2"
"9555","FBXL7"
"9556","AC010638.1"
"9557","MARCH11"
"9558","AC016650.1"
"9559","AC092335.1"
"9560","LINC02150"
"9561","AC020980.1"
"9562","ZNF622"
"9563","RETREG1"
"9564","AC024588.1"
"9565","AC022113.1"
"9566","MYO10"
"9567","BASP1"
"9568","BASP1-AS1"
"9569","AC026790.1"
"9570","AC026785.2"
"9571","AC026785.3"
"9572","LINC02111"
"9573","LINC02217"
"9574","LINC02218"
"9575","AC106774.4"
"9576","TAF11L2"
"9577","TAF11L3"
"9578","TAF11L4"
"9579","TAF11L5"
"9580","TAF11L6"
"9581","TAF11L7"
"9582","TAF11L8"
"9583","TAF11L9"
"9584","TAF11L10"
"9585","TAF11L11"
"9586","TAF11L12"
"9587","TAF11L13"
"9588","TAF11L14"
"9589","H3.Y"
"9590","LINC02223"
"9591","LINC02100"
"9592","AC106744.1"
"9593","AC106744.2"
"9594","CDH18"
"9595","CDH18-AS1"
"9596","LINC02146"
"9597","LINC02241"
"9598","AC140168.1"
"9599","AC093274.1"
"9600","AC091946.2"
"9601","AC091946.1"
"9602","CDH12"
"9603","AC139497.1"
"9604","AC138854.1"
"9605","AC091938.1"
"9606","AC010445.1"
"9607","PRDM9"
"9608","C5orf17"
"9609","AC114930.1"
"9610","AC010387.1"
"9611","AC010387.2"
"9612","CDH10"
"9613","AC091885.2"
"9614","AC091893.2"
"9615","AC106821.2"
"9616","LINC02239"
"9617","AC106821.1"
"9618","LINC02228"
"9619","LINC02211"
"9620","AC099499.2"
"9621","AC099499.1"
"9622","AC106754.1"
"9623","AC022140.1"
"9624","AC113370.1"
"9625","AC025475.1"
"9626","AC025475.2"
"9627","AC113347.4"
"9628","CDH9"
"9629","PURPL"
"9630","AC113355.1"
"9631","LINC02103"
"9632","AC008825.1"
"9633","AC109472.1"
"9634","LINC02109"
"9635","AC112172.2"
"9636","LINC02064"
"9637","AC099517.1"
"9638","AC026433.1"
"9639","AC113386.1"
"9640","CDH6"
"9641","DROSHA"
"9642","C5orf22"
"9643","PDZD2"
"9644","AC022447.2"
"9645","AC022447.5"
"9646","AC022447.3"
"9647","AC022447.1"
"9648","AC022447.7"
"9649","AC022447.6"
"9650","AC025178.1"
"9651","GOLPH3"
"9652","AC025181.2"
"9653","MTMR12"
"9654","ZFR"
"9655","SUB1"
"9656","LINC02061"
"9657","AC008766.1"
"9658","NPR3"
"9659","AC010343.3"
"9660","LINC02120"
"9661","AC034223.1"
"9662","AC034223.2"
"9663","LINC02160"
"9664","AC034231.1"
"9665","TARS"
"9666","AC034232.2"
"9667","ADAMTS12"
"9668","RXFP3"
"9669","SLC45A2"
"9670","AMACR"
"9671","C1QTNF3"
"9672","AC139792.1"
"9673","AC138409.3"
"9674","AC025754.2"
"9675","RAI14"
"9676","AC025754.1"
"9677","AC026801.2"
"9678","TTC23L"
"9679","RAD1"
"9680","BRIX1"
"9681","DNAJC21"
"9682","AGXT2"
"9683","PRLR"
"9684","SPEF2"
"9685","AC137810.1"
"9686","IL7R"
"9687","CAPSL"
"9688","AC112204.2"
"9689","UGT3A1"
"9690","UGT3A2"
"9691","LMBRD2"
"9692","SKP2"
"9693","NADK2"
"9694","NADK2-AS1"
"9695","RANBP3L"
"9696","AC114277.1"
"9697","SLC1A3"
"9698","AC008957.2"
"9699","AC008957.1"
"9700","AC026741.1"
"9701","NIPBL-DT"
"9702","NIPBL"
"9703","CPLANE1"
"9704","AC025449.2"
"9705","NUP155"
"9706","WDR70"
"9707","GDNF-AS1"
"9708","GDNF"
"9709","LINC02117"
"9710","AC008869.1"
"9711","LINC02110"
"9712","AC034226.1"
"9713","LINC02119"
"9714","EGFLAM"
"9715","EGFLAM-AS4"
"9716","EGFLAM-AS3"
"9717","EGFLAM-AS2"
"9718","EGFLAM-AS1"
"9719","AC010457.1"
"9720","LIFR"
"9721","LIFR-AS1"
"9722","AC010425.1"
"9723","OSMR-AS1"
"9724","AC091435.2"
"9725","OSMR"
"9726","RICTOR"
"9727","AC008964.1"
"9728","FYB1"
"9729","C9"
"9730","DAB2"
"9731","LINC02104"
"9732","LINC00603"
"9733","LINC00604"
"9734","AC108105.1"
"9735","AC093277.1"
"9736","AC114977.1"
"9737","AC114977.2"
"9738","TTC33"
"9739","PTGER4"
"9740","PRKAA1"
"9741","RPL37"
"9742","CARD6"
"9743","C7"
"9744","MROH2B"
"9745","C6"
"9746","PLCXD3"
"9747","OXCT1"
"9748","AC034222.2"
"9749","OXCT1-AS1"
"9750","C5orf51"
"9751","FBXO4"
"9752","AC108099.1"
"9753","GHR"
"9754","CCDC152"
"9755","SELENOP"
"9756","AC008945.1"
"9757","AC008945.2"
"9758","AC008875.3"
"9759","AC008875.2"
"9760","AC008875.1"
"9761","AC025171.1"
"9762","AC025171.3"
"9763","AC025171.5"
"9764","ANXA2R"
"9765","AC025171.2"
"9766","AC025171.4"
"9767","ZNF131"
"9768","NIM1K"
"9769","HMGCS1"
"9770","AC114947.2"
"9771","CCL28"
"9772","TMEM267"
"9773","AC114956.3"
"9774","C5orf34"
"9775","AC114956.2"
"9776","AC114956.1"
"9777","PAIP1"
"9778","NNT-AS1"
"9779","NNT"
"9780","AC104119.1"
"9781","FGF10"
"9782","FGF10-AS1"
"9783","LINC02224"
"9784","AC093292.1"
"9785","MRPS30-DT"
"9786","AC093297.1"
"9787","MRPS30"
"9788","AC093297.2"
"9789","AC114954.1"
"9790","AC116350.1"
"9791","HCN1"
"9792","AC122694.1"
"9793","EMB"
"9794","AC112187.3"
"9795","PARP8"
"9796","AC022441.1"
"9797","AC022441.2"
"9798","AC008808.2"
"9799","LINC02106"
"9800","AC008808.1"
"9801","AC010478.1"
"9802","ISL1"
"9803","AC022433.1"
"9804","AC091860.2"
"9805","LINC02118"
"9806","AC022126.1"
"9807","PELO"
"9808","ITGA1"
"9809","AC025180.1"
"9810","ITGA2"
"9811","AC008966.3"
"9812","AC008966.2"
"9813","MOCS2"
"9814","AC008966.1"
"9815","AC027329.1"
"9816","FST"
"9817","NDUFS4"
"9818","LINC02105"
"9819","AC025175.1"
"9820","ARL15"
"9821","AC025175.2"
"9822","LINC01033"
"9823","HSPB3"
"9824","SNX18"
"9825","AC016583.2"
"9826","AC112198.3"
"9827","ESM1"
"9828","AC034238.1"
"9829","GZMK"
"9830","AC034238.3"
"9831","AC034238.2"
"9832","GZMA"
"9833","CDC20B"
"9834","GPX8"
"9835","MCIDAS"
"9836","CCNO"
"9837","AC026704.1"
"9838","DHX29"
"9839","MTREX"
"9840","PLPP1"
"9841","SLC38A9"
"9842","DDX4"
"9843","IL31RA"
"9844","IL6ST"
"9845","AC008914.1"
"9846","AC008892.1"
"9847","AC016596.1"
"9848","ANKRD55"
"9849","AC034245.1"
"9850","LINC01948"
"9851","AC008391.1"
"9852","C5orf67"
"9853","AC022431.1"
"9854","AC008940.1"
"9855","MAP3K1"
"9856","AC008937.2"
"9857","AC008937.1"
"9858","SETD9"
"9859","MIER3"
"9860","AC008937.3"
"9861","AC016644.1"
"9862","GPBP1"
"9863","AC025470.2"
"9864","ACTBL2"
"9865","AC008780.1"
"9866","AC008780.2"
"9867","AC106822.1"
"9868","LINC02225"
"9869","LINC02101"
"9870","AC008786.1"
"9871","PLK2"
"9872","GAPT"
"9873","LINC02108"
"9874","RAB3C"
"9875","AC016642.1"
"9876","AC008852.1"
"9877","PDE4D"
"9878","AC092343.1"
"9879","AC034234.1"
"9880","PART1"
"9881","DEPDC1B"
"9882","AC109133.1"
"9883","ELOVL7"
"9884","AC104113.1"
"9885","ERCC8"
"9886","AC022445.1"
"9887","NDUFAF2"
"9888","SMIM15"
"9889","SMIM15-AS1"
"9890","LINC02057"
"9891","ZSWIM6"
"9892","C5orf64"
"9893","AC026746.1"
"9894","C5orf64-AS1"
"9895","AC008877.1"
"9896","KIF2A"
"9897","DIMT1"
"9898","IPO11"
"9899","LRRC70"
"9900","AC008558.1"
"9901","AC122707.1"
"9902","HTR1A"
"9903","RNF180"
"9904","RGS7BP"
"9905","SHISAL2B"
"9906","SREK1IP1"
"9907","CWC27"
"9908","AC092354.2"
"9909","AC092354.1"
"9910","ADAMTS6"
"9911","AC025176.1"
"9912","CENPK"
"9913","PPWD1"
"9914","TRIM23"
"9915","SHLD3"
"9916","TRAPPC13"
"9917","SGTB"
"9918","NLN"
"9919","AC010359.2"
"9920","ERBIN"
"9921","AC010359.3"
"9922","AC025442.2"
"9923","SREK1"
"9924","AC025442.1"
"9925","LINC02065"
"9926","AC092353.1"
"9927","AC092353.2"
"9928","LINC02229"
"9929","MAST4"
"9930","MAST4-IT1"
"9931","MAST4-AS1"
"9932","CD180"
"9933","AC010420.1"
"9934","AC008459.1"
"9935","AC112206.2"
"9936","AC079467.1"
"9937","LINC02242"
"9938","AC106798.1"
"9939","AC024581.1"
"9940","LINC02219"
"9941","PIK3R1"
"9942","AC024579.1"
"9943","AC010280.2"
"9944","AC010280.1"
"9945","AC010280.3"
"9946","AC093523.1"
"9947","AC093248.1"
"9948","LINC02198"
"9949","AC010273.3"
"9950","SLC30A5"
"9951","AC010273.2"
"9952","CCNB1"
"9953","CENPH"
"9954","MRPS36"
"9955","CDK7"
"9956","CCDC125"
"9957","AK6"
"9958","TAF9"
"9959","RAD17"
"9960","MARVELD2"
"9961","AC145146.1"
"9962","OCLN"
"9963","GTF2H2C"
"9964","SERF1B"
"9965","SMN2"
"9966","AC140134.2"
"9967","AC146944.4"
"9968","SERF1A"
"9969","SMN1"
"9970","AC139834.1"
"9971","NAIP"
"9972","GTF2H2"
"9973","LINC02197"
"9974","AC145141.2"
"9975","AC145141.1"
"9976","BDP1"
"9977","MCCC2"
"9978","CARTPT"
"9979","AC025774.1"
"9980","MAP1B"
"9981","MRPS27"
"9982","PTCD2"
"9983","AC093278.2"
"9984","ZNF366"
"9985","LINC02056"
"9986","AC063979.2"
"9987","AC035140.1"
"9988","TNPO1"
"9989","AC008972.1"
"9990","AC008972.2"
"9991","FCHO2"
"9992","TMEM171"
"9993","AC116345.3"
"9994","TMEM174"
"9995","AC116345.4"
"9996","AC116345.1"
"9997","LINC02230"
"9998","FOXD1"
"9999","FOXD1-AS1"
"10000","LINC01385"
"10001","LINC01386"
"10002","AC099522.2"
"10003","BTF3"
"10004","ANKRA2"
"10005","UTP15"
"10006","ARHGEF28"
"10007","AC091868.2"
"10008","AC093283.1"
"10009","LINC02122"
"10010","LINC01331"
"10011","LINC01335"
"10012","LINC01333"
"10013","LINC01332"
"10014","ENC1"
"10015","HEXB"
"10016","GFM2"
"10017","NSA2"
"10018","FAM169A"
"10019","AC010501.2"
"10020","AC116337.4"
"10021","AC116337.3"
"10022","GCNT4"
"10023","ANKRD31"
"10024","AC008897.2"
"10025","HMGCR"
"10026","CERT1"
"10027","AC008897.3"
"10028","POLK"
"10029","AC010245.1"
"10030","AC010245.2"
"10031","ANKDD1B"
"10032","POC5"
"10033","AC026774.1"
"10034","SV2C"
"10035","AC113404.1"
"10036","IQGAP2"
"10037","AC026725.1"
"10038","F2RL2"
"10039","AC025188.1"
"10040","F2R"
"10041","F2RL1"
"10042","S100Z"
"10043","CRHBP"
"10044","AGGF1"
"10045","ZBED3"
"10046","AC008581.1"
"10047","ZBED3-AS1"
"10048","PDE8B"
"10049","WDR41"
"10050","OTP"
"10051","TBCA"
"10052","AC108482.1"
"10053","AC108482.2"
"10054","AP3B1"
"10055","SCAMP1-AS1"
"10056","SCAMP1"
"10057","LHFPL2"
"10058","ARSB"
"10059","DMGDH"
"10060","BHMT2"
"10061","BHMT"
"10062","JMY"
"10063","HOMER1"
"10064","TENT2"
"10065","CMYA5"
"10066","AC008496.2"
"10067","AC008496.3"
"10068","LINC01455"
"10069","MTX3"
"10070","THBS4"
"10071","AC012636.1"
"10072","SERINC5"
"10073","AC010260.1"
"10074","SPZ1"
"10075","ZFYVE16"
"10076","AC008771.1"
"10077","FAM151B"
"10078","ANKRD34B"
"10079","LINC01337"
"10080","DHFR"
"10081","AC008434.1"
"10082","MSH3"
"10083","RASGRF2-AS1"
"10084","RASGRF2"
"10085","AC026427.1"
"10086","CKMT2-AS1"
"10087","CKMT2"
"10088","ZCCHC9"
"10089","ACOT12"
"10090","AC010623.1"
"10091","SSBP2"
"10092","AC026726.2"
"10093","AC026726.1"
"10094","ATG10"
"10095","ATG10-IT1"
"10096","ATG10-AS1"
"10097","RPS23"
"10098","ATP6AP1L"
"10099","AC026782.1"
"10100","AC026782.2"
"10101","AC008885.2"
"10102","LINC01338"
"10103","AC108174.1"
"10104","AC027338.2"
"10105","AC027338.1"
"10106","AC104118.1"
"10107","TMEM167A"
"10108","XRCC4"
"10109","VCAN"
"10110","VCAN-AS1"
"10111","HAPLN1"
"10112","EDIL3"
"10113","AC113383.1"
"10114","AC114928.1"
"10115","AC117522.2"
"10116","AC010486.1"
"10117","AC010486.2"
"10118","AC010486.3"
"10119","AC010595.1"
"10120","AC026414.1"
"10121","AC016550.1"
"10122","AC016550.2"
"10123","AC016550.3"
"10124","COX7C"
"10125","LINC02059"
"10126","AC008539.1"
"10127","AC109492.1"
"10128","LINC01949"
"10129","RASA1"
"10130","CCNH"
"10131","AC018754.1"
"10132","LINC02488"
"10133","LINC02144"
"10134","AC020930.1"
"10135","AC114971.1"
"10136","TMEM161B"
"10137","TMEM161B-AS1"
"10138","LINC02060"
"10139","AC091826.2"
"10140","LINC00461"
"10141","MEF2C-AS2"
"10142","AC008525.1"
"10143","AC008525.2"
"10144","MEF2C"
"10145","MEF2C-AS1"
"10146","AC074131.1"
"10147","LINC02161"
"10148","AC113167.1"
"10149","LINC01339"
"10150","AC099554.1"
"10151","AC093510.2"
"10152","CETN3"
"10153","AC093510.1"
"10154","MBLAC2"
"10155","POLR3G"
"10156","LYSMD3"
"10157","ADGRV1"
"10158","LUCAT1"
"10159","AC074132.1"
"10160","AC093281.1"
"10161","AC093281.2"
"10162","AC123595.1"
"10163","AC123595.2"
"10164","AC008799.2"
"10165","ARRDC3"
"10166","ARRDC3-AS1"
"10167","AC093298.2"
"10168","AC114316.1"
"10169","AC124854.1"
"10170","AC026780.1"
"10171","AC026780.2"
"10172","AC008517.1"
"10173","LINC02058"
"10174","AC012625.1"
"10175","AC026408.1"
"10176","NR2F1-AS1"
"10177","NR2F1"
"10178","FAM172A"
"10179","AC106818.2"
"10180","POU5F2"
"10181","AC108102.1"
"10182","AC099501.1"
"10183","AC114980.1"
"10184","AC117528.1"
"10185","KIAA0825"
"10186","AC025766.1"
"10187","SLF1"
"10188","MCTP1"
"10189","AC008534.1"
"10190","MCTP1-AS1"
"10191","FAM81B"
"10192","TTC37"
"10193","ARSK"
"10194","GPR150"
"10195","RFESD"
"10196","SPATA9"
"10197","AC008840.1"
"10198","RHOBTB3"
"10199","GLRX"
"10200","AC008592.4"
"10201","LINC01554"
"10202","AC008592.5"
"10203","AC008592.1"
"10204","ELL2"
"10205","AC104123.1"
"10206","AC008592.2"
"10207","MIR583HG"
"10208","AC099509.1"
"10209","AC099509.2"
"10210","PCSK1"
"10211","CAST"
"10212","AC020900.1"
"10213","ERAP1"
"10214","AC008906.1"
"10215","AC008906.2"
"10216","AC009126.1"
"10217","ERAP2"
"10218","LNPEP"
"10219","LIX1-AS1"
"10220","LIX1"
"10221","RIOK2"
"10222","AC008883.3"
"10223","AC008883.1"
"10224","AC008883.2"
"10225","LINC01340"
"10226","AC122697.1"
"10227","LINC02234"
"10228","LINC01846"
"10229","RGMB"
"10230","RGMB-AS1"
"10231","AC008522.1"
"10232","CHD1"
"10233","LINC02062"
"10234","LINC02113"
"10235","AC113385.1"
"10236","AC021086.1"
"10237","FAM174A"
"10238","AC027315.1"
"10239","ST8SIA4"
"10240","AC008948.1"
"10241","SLCO4C1"
"10242","SLCO6A1"
"10243","AC094108.1"
"10244","LINC00492"
"10245","LINC00491"
"10246","AC099487.1"
"10247","AC099487.2"
"10248","PAM"
"10249","GIN1"
"10250","PPIP5K2"
"10251","AC011362.1"
"10252","C5orf30"
"10253","AC010406.1"
"10254","LINC02115"
"10255","NUDT12"
"10256","AC008505.1"
